,实体,属性,值
0,贡丸,主要食材,猪肉
1,贡丸,标签,科学
2,贡丸,标签,生活
3,贡丸汤,口味,可口
4,贡丸汤,标签,食品
5,沔阳三蒸,非遗传承人,李和鸣
6,三鲜豆皮,标签,生活
7,热干面,标签,特产
8,热干面,标签,小吃
9,热干面,标签,人物
10,洪山菜苔,俗称,红菜薹
11,洪山菜苔,标签,食品
12,洪山菜苔,标签,菜品
13,糊汤粉,做法,泡
14,糊汤粉,标签,生活
15,面窝,标签,生活
16,蚝煎,分类,广东潮州
17,蚝煎,标签,人物
18,鱼香肉丝,分类,川菜
19,鱼香肉丝,标签,小吃
20,拌菠菜松,分类,大众
21,拌菠菜松,标签,食品
22,拌菠菜松,标签,菜品
23,金华馒头,历史,悠久
24,金华馒头,标签,菜品
25,杜称奇火烧,标签,生活
26,五香花生米,口味,五香味
27,五香花生米,标签,生活
28,麻酱甜椒,口味,可口
29,麻酱甜椒,标签,食品
30,麻酱甜椒,标签,休闲食品
31,拌三丝,分类,川菜系
32,拌三丝,标签,食品
33,拌三丝,标签,生活
34,酸辣黄瓜,分类,小菜
35,酸辣黄瓜,调料,精盐
36,酸辣黄瓜,标签,菜品
37,芝麻青椒丝,分类,家常菜
38,芝麻青椒丝,口味,咸鲜味
39,天妇罗,英文名,tempura
40,天妇罗,分类,日本料理
41,天妇罗,口味,油炸食品
42,天妇罗,起源国,葡萄牙
43,天妇罗,标签,食品
44,天妇罗,标签,菜品
45,天妇罗,标签,小吃
46,西米[棕榈树类的树干加工制成的可食用西米淀粉],外文名,sago
47,西米[棕榈树类的树干加工制成的可食用西米淀粉],是否含防腐剂,否
48,西米[棕榈树类的树干加工制成的可食用西米淀粉],标签,生活
49,酸牛奶,外文名,yogurt
50,酸牛奶,是否含防腐剂,是
51,酸牛奶,储藏方法,冷藏
52,太白粉,主要食材,马铃薯
53,太白粉,分类,马铃薯淀粉
54,太白粉,标签,食品
55,瑶柱,是否含防腐剂,否
56,瑶柱,标签,生活
57,玉兰片,标签,食品
58,羊羹[食品],是否含防腐剂,否
59,羊羹[食品],来源国,中国
60,羊羹[食品],标签,生活
61,云吞面[传统小吃],口味,爽脆
62,云吞面[传统小吃],标签,粤菜
63,云吞面[传统小吃],标签,生活
64,燕窝[传统食品],是否含防腐剂,否
65,燕窝[传统食品],标签,菜品
66,燕窝[传统食品],标签,中药
67,天津三绝,属性,中华美食
68,天津三绝,社会影响,驰名中外
69,天津三绝,标签,生活
70,白汤,标签,食品
71,白汤,标签,生活
72,白汤,标签,学科
73,白汤,标签,中药
74,醪糟汁,英文名,无
75,醪糟汁,分类,川系
76,醪糟汁,标签,生活
77,慕斯蛋糕,口味,甜味
78,慕斯蛋糕,标签,食品
79,慕斯蛋糕,标签,生活
80,慕斯蛋糕,标签,小吃
81,明太子[中日韩料理],类型,食品
82,明太子[中日韩料理],属于,动物内脏
83,明太子[中日韩料理],标签,漫画
84,驴打滚,口味,甜
85,驴打滚,标签,语言
86,驴打滚,标签,特产
87,驴打滚,标签,小吃
88,姜丝排叉,是否含防腐剂,否
89,姜丝排叉,标签,生活
90,曲酒,材料,谷物
91,曲酒,类别,四类
92,曲酒,国家,中国
93,曲酒,主要含量,乙醇
94,曲酒,标签,生活
95,喜饼,标签,语言
96,喜饼,标签,文化
97,艾窝窝,别称,江米糕
98,艾窝窝,是否含防腐剂,否
99,艾窝窝,适宜人群,老少咸宜
100,艾窝窝,副作用,无
101,艾窝窝,储藏方法,低温干燥
102,艾窝窝,口味,香甜
103,艾窝窝,标签,生活
104,艾窝窝,标签,小吃
105,培根[猪肉烟熏肉制品],别称,烟肉
106,培根[猪肉烟熏肉制品],是否含防腐剂,否
107,培根[猪肉烟熏肉制品],储藏方法,冷冻
108,培根[猪肉烟熏肉制品],标签,中国食品科学技术学会
109,培根[猪肉烟熏肉制品],标签,生活
110,椰果,标签,食品
111,提拉米苏[意大利甜点],是否含防腐剂,否
112,提拉米苏[意大利甜点],副作用,无
113,提拉米苏[意大利甜点],储藏方法,冷藏
114,提拉米苏[意大利甜点],AA国际动漫,是
115,提拉米苏[意大利甜点],标签,生活
116,金瓜粉蒸排骨,是否含防腐剂,否
117,金瓜粉蒸排骨,标签,菜品
118,糖醋鲤鱼,标签,鲁菜
119,糖醋鲤鱼,标签,生活
120,糖醋鲤鱼,标签,小吃
121,面包[面包],标签,食品
122,面包[面包],标签,菜品
123,冬瓜糖,标签,生活
124,臭豆腐[小吃],标签,特产
125,臭豆腐[小吃],标签,民俗
126,炒鱿鱼[菜品名称],味道,鲜香
127,炒鱿鱼[菜品名称],标签,食品
128,米线[食物名称],又称,米粉
129,米线[食物名称],性质,小吃
130,米线[食物名称],标签,中国食品科学技术学会
131,米线[食物名称],标签,生活
132,东坡肉,主要食材,猪肉
133,东坡肉,标签,食品
134,东坡肉,标签,菜品
135,夫妻肺片,分类,川菜
136,夫妻肺片,口味,麻辣
137,夫妻肺片,标签,食品
138,夫妻肺片,标签,菜品
139,夫妻肺片,标签,小吃
140,口水鸡,分类,川菜
141,口水鸡,口味,麻辣
142,口水鸡,标签,小吃
143,羊蝎子,标签,北京菜
144,羊蝎子,标签,生活
145,过桥米线,分类,云南菜
146,过桥米线,口味,鲜香
147,过桥米线,菜系,滇菜
148,过桥米线,标签,生活
149,酸辣粉[重庆小吃名称],主要食材,红薯粉丝
150,酸辣粉[重庆小吃名称],标签,食品
151,腐竹,是否含防腐剂,否
152,腐竹,主要食用功效,预防老年痴呆
153,腐竹,标签,中国食品科学技术学会
154,腐竹,标签,生活
155,糖醋排骨[中国名菜家常菜],口味,酸甜
156,糖醋排骨[中国名菜家常菜],标签,食品
157,糖醋排骨[中国名菜家常菜],标签,菜品
158,宜宾燃面,口味,香辣
159,宜宾燃面,菜系,川菜
160,宜宾燃面,标签,小吃
161,卤牛肉,难易程度,一般
162,卤牛肉,标签,生活
163,饼干[以面粉为主要原料烤制而成的片状西式点心],外文名,Biscuit
164,实体,属性,值
165,大龙湫,著名景点,芙蓉峰
166,大龙湫,著名景点,剪刀峰
167,大龙湫,所属国家,中国
168,大龙湫,标签,旅游
169,大龙湫,标签,地理
170,大龙湫,标签,地形地貌
171,五大夫松,所属国家,中国
172,五大夫松,标签,旅游
173,五大夫松,标签,地理
174,五大夫松,标签,地点
175,五大夫松,标签,历史
176,灵峰,行政区类别,景区
177,灵峰,所属地区,雁荡山
178,灵峰,政府驻地,乐清市
179,灵峰,电话区号,0577
180,灵峰,建议游玩时长,半天
181,灵峰,标签,旅游
182,灵峰,标签,地理
183,灵峰,标签,地点
184,灵峰,标签,地形地貌
185,伊瓜苏市,语言,葡萄牙语
186,伊瓜苏市,标签,旅游
187,伊瓜苏市,标签,城市
188,伊瓜苏市,标签,地点
189,拉萨,别名,逻些
190,拉萨,别名,日光城
191,拉萨,行政区类别,地级市
192,拉萨,气候条件,高原山地气候
193,拉萨,市花,格桑花
194,拉萨,标签,城市
195,赵王城,开放时间,全天
196,赵王城,门票价格,10元
197,赵王城,著名景点,龙台
198,赵王城,所属国家,中国
199,赵王城,适宜游玩季节,全年
200,赵王城,标签,旅游
201,灵隐寺[浙江杭州灵隐寺],气候类型,亚热带季风气候
