实体,属性,值
贡丸,主要食材,猪肉
贡丸,标签,科学
贡丸,标签,生活
贡丸汤,口味,可口
贡丸汤,标签,食品
沔阳三蒸,非遗传承人,李和鸣
三鲜豆皮,标签,生活
热干面,标签,特产
热干面,标签,小吃
热干面,标签,人物
洪山菜苔,俗称,红菜薹
洪山菜苔,标签,食品
洪山菜苔,标签,菜品
糊汤粉,做法,泡
糊汤粉,标签,生活
面窝,标签,生活
蚝煎,分类,广东潮州
蚝煎,标签,人物
鱼香肉丝,分类,川菜
鱼香肉丝,标签,小吃
拌菠菜松,分类,大众
拌菠菜松,标签,食品
拌菠菜松,标签,菜品
金华馒头,历史,悠久
金华馒头,标签,菜品
杜称奇火烧,标签,生活
五香花生米,口味,五香味
五香花生米,标签,生活
麻酱甜椒,口味,可口
麻酱甜椒,标签,食品
麻酱甜椒,标签,休闲食品
拌三丝,分类,川菜系
拌三丝,标签,食品
拌三丝,标签,生活
酸辣黄瓜,分类,小菜
酸辣黄瓜,调料,精盐
酸辣黄瓜,标签,菜品
芝麻青椒丝,分类,家常菜
芝麻青椒丝,口味,咸鲜味
天妇罗,英文名,tempura
天妇罗,分类,日本料理
天妇罗,口味,油炸食品
天妇罗,起源国,葡萄牙
天妇罗,标签,食品
天妇罗,标签,菜品
天妇罗,标签,小吃
西米[棕榈树类的树干加工制成的可食用西米淀粉],外文名,sago
西米[棕榈树类的树干加工制成的可食用西米淀粉],是否含防腐剂,否
西米[棕榈树类的树干加工制成的可食用西米淀粉],标签,生活
酸牛奶,外文名,yogurt
酸牛奶,是否含防腐剂,是
酸牛奶,储藏方法,冷藏
太白粉,主要食材,马铃薯
太白粉,分类,马铃薯淀粉
太白粉,标签,食品
瑶柱,是否含防腐剂,否
瑶柱,标签,生活
玉兰片,标签,食品
羊羹[食品],是否含防腐剂,否
羊羹[食品],来源国,中国
羊羹[食品],标签,生活
云吞面[传统小吃],口味,爽脆
云吞面[传统小吃],标签,粤菜
云吞面[传统小吃],标签,生活
燕窝[传统食品],是否含防腐剂,否
燕窝[传统食品],标签,菜品
燕窝[传统食品],标签,中药
天津三绝,属性,中华美食
天津三绝,社会影响,驰名中外
天津三绝,标签,生活
白汤,标签,食品
白汤,标签,生活
白汤,标签,学科
白汤,标签,中药
醪糟汁,英文名,无
醪糟汁,分类,川系
醪糟汁,标签,生活
慕斯蛋糕,口味,甜味
慕斯蛋糕,标签,食品
慕斯蛋糕,标签,生活
慕斯蛋糕,标签,小吃
明太子[中日韩料理],类型,食品
明太子[中日韩料理],属于,动物内脏
明太子[中日韩料理],标签,漫画
驴打滚,口味,甜
驴打滚,标签,语言
驴打滚,标签,特产
驴打滚,标签,小吃
姜丝排叉,是否含防腐剂,否
姜丝排叉,标签,生活
曲酒,材料,谷物
曲酒,类别,四类
曲酒,国家,中国
曲酒,主要含量,乙醇
曲酒,标签,生活
喜饼,标签,语言
喜饼,标签,文化
艾窝窝,别称,江米糕
艾窝窝,是否含防腐剂,否
艾窝窝,适宜人群,老少咸宜
艾窝窝,副作用,无
艾窝窝,储藏方法,低温干燥
艾窝窝,口味,香甜
艾窝窝,标签,生活
艾窝窝,标签,小吃
培根[猪肉烟熏肉制品],别称,烟肉
