,实体,属性,值
0,0,0,1
1,0,1,2
2,0,2,3
3,0,3,4
4,0,4,5
5,0,5,6
6,0,6,7
7,0,7,8
8,0,7,9
9,1,0,10
10,1,0,19
11,1,0,22
12,1,0,25
13,1,0,28
14,1,0,37
15,1,0,40
16,1,0,44
17,1,0,48
18,1,0,54
19,1,0,58
20,1,0,60
21,1,0,62
22,1,0,2
23,1,0,71
24,1,0,72
25,1,0,82
26,1,0,85
27,1,0,86
28,1,0,89
29,1,0,90
30,1,0,93
31,1,0,98
32,1,0,100
33,1,0,104
34,1,0,106
35,1,0,109
36,1,0,114
37,1,0,115
38,1,0,120
39,1,0,122
40,1,0,124
41,1,0,125
42,1,0,130
43,1,0,136
44,1,0,137
45,1,0,139
46,1,0,143
47,1,0,151
48,1,0,154
49,1,0,156
50,1,0,159
51,2,1,19
52,2,1,22
53,2,1,25
54,2,1,28
55,2,1,37
56,2,1,40
57,2,1,44
58,2,1,48
59,2,1,54
60,2,1,58
61,2,1,60
62,2,17,67
63,2,8,68
64,2,15,69
65,2,18,70
66,2,7,43
67,2,7,8
68,2,1,71
69,2,1,72
70,2,1,85
71,2,1,86
72,2,1,89
73,2,1,90
74,2,1,93
75,2,1,98
76,2,1,100
77,2,1,104
78,2,1,106
79,2,15,108
80,2,1,109
81,2,1,114
82,2,1,120
83,2,1,122
84,2,1,124
85,2,1,125
86,2,1,139
87,3,2,10
88,3,2,19
89,3,2,37
90,3,2,48
91,3,2,54
92,3,2,60
93,3,2,72
94,3,2,82
95,3,2,86
96,3,2,98
97,3,2,100
98,3,2,109
99,4,3,19
100,4,3,60
101,4,3,98
102,4,3,100
103,4,3,125
104,5,4,19
105,5,4,44
106,5,4,85
107,8,7,19
108,8,7,22
109,8,7,28
110,8,7,37
111,8,7,40
112,8,7,44
113,8,7,48
114,8,7,54
115,8,7,58
116,8,7,60
117,8,7,62
118,8,7,71
119,8,7,72
120,8,7,82
121,8,7,86
122,8,7,89
123,8,7,93
124,8,7,98
125,8,7,100
126,8,7,106
127,8,7,109
128,8,7,114
129,8,7,115
130,8,7,120
131,8,7,122
132,8,7,124
133,8,7,128
134,8,7,130
135,8,7,137
136,8,7,139
137,8,7,143
138,8,7,151
139,8,7,154
140,8,7,156
141,10,8,11
142,10,3,12
143,10,4,13
144,10,5,14
145,10,6,15
146,10,9,16
147,10,7,17
148,10,7,18
149,11,8,19
150,11,8,22
151,11,8,25
152,11,8,28
153,11,8,37
154,11,8,40
155,11,8,44
156,11,8,48
157,11,8,54
158,11,8,58
159,11,8,60
160,11,8,72
161,11,8,82
162,11,8,85
163,11,8,86
164,11,8,89
165,11,8,90
166,11,8,93
167,11,8,98
168,11,8,100
169,11,8,104
170,11,8,106
171,11,8,108
172,11,8,109
173,11,8,114
174,11,8,115
175,11,8,120
176,11,8,122
177,11,8,124
178,11,8,125
179,11,8,130
180,11,8,136
181,11,8,139
182,11,8,143
183,11,8,151
184,11,8,156
185,11,8,159
186,12,3,37
187,12,3,86
188,13,4,22
189,13,4,37
190,13,4,72
191,13,4,89
192,13,4,108
193,13,4,114
194,14,5,25
195,14,5,89
196,15,6,89
197,17,7,62
198,17,7,86
199,19,5,20
200,19,7,21
201,20,5,62
202,20,5,85
203,20,5,98
204,21,7,22
205,21,7,40
206,21,7,44
207,21,7,60
208,21,7,62
209,21,7,71
210,21,7,82
211,21,7,109
212,21,7,114
213,21,7,120
214,21,7,137
215,21,7,139
216,21,7,143
217,21,7,154
218,21,7,156
219,22,3,23
220,22,6,24
221,23,3,25
222,23,3,36
223,23,3,54
224,23,3,72
225,23,3,89
226,23,3,106
227,23,3,108
228,23,3,114
229,23,3,122
230,25,2,26
231,25,10,27
232,26,2,28
233,26,2,40
234,26,2,44
235,26,2,58
236,26,2,85
237,26,2,89
238,26,2,93
239,26,2,104
240,26,2,114
241,26,2,115
242,26,2,122
