实体,属性,值
0,0,1
0,1,2
1,2,2
1,0,139
1,3,156
3,3,4
3,0,5
4,4,5
6,0,7
6,0,8
7,5,8
9,0,10
9,1,11
10,6,11
12,0,13
12,3,14
13,6,14
15,0,16
15,1,17
16,7,17
18,0,19
18,3,20
19,8,20
21,0,22
21,3,23
21,1,24
21,1,25
22,9,23
22,6,24
23,6,24
23,10,25
26,1,27
26,1,28
27,11,28
29,0,30
29,1,31
30,12,31
32,0,33
32,3,34
32,1,35
33,6,34
33,0,39
33,6,40
34,10,35
35,1,39
35,10,40
36,0,37
36,1,38
37,13,38
39,3,40
41,0,42
41,0,43
42,5,43
44,0,45
44,1,46
45,14,46
45,0,62
45,0,173
46,3,62
46,3,173
47,0,48
47,1,49
48,15,49
50,0,51
50,1,52
51,16,52
53,0,54
53,1,55
54,5,55
56,0,57
56,0,58
57,5,58
59,0,60
59,3,61
60,17,61
63,0,64
63,1,65
64,7,65
66,0,67
66,1,68
67,18,68
69,0,70
69,3,71
69,1,72
70,6,71
70,19,72
70,0,94
70,0,112
71,20,72
71,3,94
71,1,112
73,0,74
73,0,75
74,5,75
76,0,77
76,1,78
77,5,78
79,0,80
79,1,81
80,5,81
82,0,83
82,0,84
83,5,84
84,0,95
84,22,96
84,0,113
84,5,114
85,0,86
85,1,87
86,21,87
88,0,89
88,0,90
89,5,90
91,0,92
91,1,93
92,6,93
95,3,96
96,3,106
96,23,107
96,3,133
96,4,135
96,0,148
96,3,152
96,3,203
96,4,204
96,40,213
96,41,214
96,6,220
96,47,221
96,50,224
96,51,225
96,52,226
96,55,229
96,9,230
96,6,236
96,59,237
96,60,240
96,6,243
96,60,246
96,10,247
96,64,248
96,66,217
96,67,250
96,70,210
96,71,208
96,72,255
96,6,257
96,76,261
96,73,264
96,60,265
96,78,266
96,9,269
96,22,272
96,79,273
96,9,277
96,6,278
96,60,279
96,60,280
96,81,281
96,82,282
96,9,288
96,87,289
96,88,291
96,60,290
96,89,292
96,90,293
96,6,294
96,6,295
96,60,268
96,60,297
96,9,300
96,93,301
96,68,305
96,22,307
96,100,310
96,102,312
96,103,313
96,60,319
96,60,320
96,105,323
96,60,324
96,106,326
96,107,327
96,6,328
96,9,329
96,108,330
96,6,332
96,6,334
96,110,335
96,111,336
96,60,338
96,112,339
96,6,348
96,116,349
96,5,350
96,118,356
96,5,358
96,120,360
96,6,233
96,121,361
96,9,362
96,6,363
96,124,366
96,9,367
96,125,368
96,93,369
96,6,370
96,127,372
96,9,352
96,8,378
96,60,380
96,6,383
96,133,211
96,134,386
96,6,387
96,136,391
