实体,属性,值
0,0,1
0,1,2
1,2,2
1,0,139
1,3,156
3,3,4
3,0,5
4,4,5
6,0,7
6,0,8
7,5,8
9,0,10
9,1,11
10,6,11
12,0,13
12,3,14
13,6,14
15,0,16
15,1,17
16,7,17
18,0,19
18,3,20
19,8,20
21,0,22
21,3,23
21,1,24
21,1,25
22,9,23
22,6,24
23,6,24
23,10,25
26,1,27
26,1,28
27,11,28
29,0,30
29,1,31
30,12,31
32,0,33
32,3,34
32,1,35
33,6,34
33,0,39
33,6,40
34,10,35
35,1,39
35,10,40
36,0,37
36,1,38
37,13,38
39,3,40
41,0,42
41,0,43
42,5,43
44,0,45
44,1,46
45,32,46
45,0,62
45,0,173
46,3,62
46,3,173
47,0,48
47,1,49
48,15,49
50,0,51
50,1,52
51,16,52
53,0,54
53,1,55
54,5,55
56,0,57
56,0,58
57,5,58
59,0,60
59,3,61
60,17,61
63,0,64
63,1,65
64,7,65
66,0,67
66,1,68
67,19,68
69,0,70
69,3,71
69,1,72
70,6,71
70,20,72
70,0,94
70,0,112
71,21,72
71,3,94
71,1,112
73,0,74
73,0,75
74,5,75
76,0,77
76,1,78
77,5,78
79,0,80
79,1,81
80,5,81
82,0,83
82,0,84
83,5,84
84,0,95
84,23,96
84,0,113
84,5,114
85,0,86
85,1,87
86,22,87
88,0,89
88,0,90
89,5,90
91,0,92
91,1,93
92,6,93
95,3,96
96,3,106
96,24,107
96,3,133
96,4,135
96,0,148
96,3,152
96,3,203
96,4,204
96,9,213
96,43,214
96,244,220
96,50,221
96,53,224
96,54,225
96,55,226
96,6,229
96,9,230
96,6,236
96,138,237
96,63,240
96,6,243
96,289,246
96,10,247
96,63,248
96,70,217
96,71,250
96,226,210
96,6,208
96,76,255
96,6,257
96,107,261
96,352,264
96,63,265
96,82,266
96,63,269
96,226,272
96,84,273
96,9,277
96,6,278
96,63,279
96,282,280
96,86,281
96,87,282
96,9,288
96,92,289
96,49,291
96,63,290
96,94,292
96,97,293
96,6,294
96,63,295
96,347,268
96,63,297
96,9,300
96,100,301
96,364,305
96,303,307
96,379,310
96,108,312
96,109,313
96,63,319
96,63,320
96,111,323
96,63,324
96,363,326
96,113,327
96,380,328
96,98,329
96,226,330
96,6,332
96,116,334
96,117,335
96,118,336
96,63,338
96,119,339
96,6,348
96,124,349
96,5,350
96,126,356
96,5,358
96,128,360
96,6,233
96,129,361
96,83,362
96,6,363
96,132,366
96,9,367
96,133,368
96,100,369
96,6,370
96,136,372
96,9,352
96,8,378
96,243,380
96,6,383
96,142,211
96,143,386
96,6,387
96,147,391
