Source,Target,Type,Id,Label,Weight
9,HappyCycle,undirected,0,hasActor,1
9,Pre-A轮融资,undirected,1,hasObject,1
HappyCycle,Pre-A轮融资,undirected,2,完成,1
9,动感单车健身品牌,undirected,3,hasObject,1
HappyCycle,动感单车健身品牌,undirected,4,BelongTo,1
11,胡玮炜,undirected,5,hasActor,1
11,摩拜单车,undirected,6,hasRecipient,1
胡玮炜,摩拜单车,undirected,7,exit,1
14,PonyCar,undirected,8,hasActor,1
14,C轮融资,undirected,9,hasObject,1
PonyCar,C轮融资,undirected,10,获,1
14,知合出行,undirected,11,hasActor,1
知合出行,PonyCar,undirected,12,invest,1
16,上海凤凰自行车,undirected,13,hasActor,1
16,共享单车,undirected,14,hasObject,1
上海凤凰自行车,共享单车,undirected,15,布局,1
16,社交,undirected,16,hasObject,1
上海凤凰自行车,社交,undirected,17,试水,1
17,ofo,undirected,18,hasActor,1
17,德国,undirected,19,hasRecipient,1
ofo,德国,undirected,20,暂别,1
586,ofo,undirected,21,hasActor,1
586,盈利,undirected,22,hasObject,1
ofo,盈利,undirected,23,实现_O,1
586,张巳丁,undirected,24,hasActor,1
ofo,张巳丁,undirected,25,co-occurence,1
589,Uber,undirected,26,hasActor,1
589,JUMP,undirected,27,hasRecipient,1
Uber,JUMP,undirected,28,acquisition,1
589,美国共享单车初创企业,undirected,29,hasObject,1
JUMP,美国共享单车初创企业,undirected,30,BelongTo,1
590,日本熊本县,undirected,31,hasActor,1
590,共享单车,undirected,32,hasObject,1
日本熊本县,共享单车,undirected,33,合作投放_O,1
590,ofo,undirected,34,hasActor,1
日本熊本县,ofo,undirected,35,合作投放_A,1
ofo,共享单车,undirected,36,合作投放_O,1
595,哈啰单车,undirected,37,hasActor,1
595,阿里巴巴,undirected,38,hasRecipient,1
哈啰单车,阿里巴巴,undirected,39,获_O,1
595,增资,undirected,40,hasObject,1
哈啰单车,增资,undirected,41,获_A,1
阿里巴巴,增资,undirected,42,获_P,1
596,ofo,undirected,43,hasActor,1
596,骑行挖矿,undirected,44,hasObject,1
ofo,骑行挖矿,undirected,45,推广_O,1
596,日本,undirected,46,hasActor,1
ofo,日本,undirected,47,推广_A,1
日本,骑行挖矿,undirected,48,推广_O,1
600,永安行,undirected,49,hasActor,1
600,上交所,undirected,50,hasRecipient,1
永安行,上交所,undirected,51,上市,1
601,ofo,undirected,52,hasActor,1
601,订单,undirected,53,hasObject,1
ofo,订单,undirected,54,产生,1
602,ofo,undirected,55,hasActor,1
602,哈佛中国论坛午餐会,undirected,56,hasObject,1
602,戴威,undirected,57,hasActor,1
ofo,戴威,undirected,58,co-occurence,1
戴威,哈佛中国论坛午餐会,undirected,59,出席_O,1
604,摩拜单车,undirected,60,hasActor,1
604,联合国环境署,undirected,61,hasRecipient,1
摩拜单车,联合国环境署,undirected,62,携,1
604,世界骑行日,undirected,63,hasObject,1
摩拜单车,世界骑行日,undirected,64,发起,1
联合国环境署,世界骑行日,undirected,65,发起,1
605,北京,undirected,66,hasActor,1
605,停车规范,undirected,67,hasObject,1
北京,停车规范,undirected,68,release,1
606,杭州,undirected,69,hasActor,1
606,共享单车,undirected,70,hasObject,1
杭州,共享单车,undirected,71,减量,1
611,南宁,undirected,72,hasActor,1
611,共享单车投放,undirected,73,hasObject,1
南宁,共享单车投放,undirected,74,禁,1
612,LimeBike,undirected,75,hasActor,1
612,B+轮融资,undirected,76,hasObject,1
LimeBike,B+轮融资,undirected,77,获,1
612,共享单车,undirected,78,hasObject,1
LimeBike,共享单车,undirected,79,BelongTo,1
618,ofo,undirected,80,hasActor,1
618,运营新模式,undirected,81,hasObject,1
ofo,运营新模式,undirected,82,启动,1
618,代理商,undirected,83,hasObject,1
ofo,代理商,undirected,84,寻找,1
619,悟空单车,undirected,85,hasActor,1
619,炒作,undirected,86,hasObject,1
悟空单车,炒作,undirected,87,否认,1
620,ofo,undirected,88,hasActor,1
620,滴滴出行,undirected,89,hasRecipient,1
ofo,滴滴出行,undirected,90,回绝_O,1
620,潜在收购提议,undirected,91,hasObject,1
ofo,潜在收购提议,undirected,92,回绝_A,1
滴滴出行,潜在收购提议,undirected,93,回绝_P,1
622,ofo,undirected,94,hasActor,1
622,电子锁,undirected,95,hasObject,1
ofo,电子锁,undirected,96,换_O,1
622,戴威,undirected,97,hasActor,1
ofo,戴威,undirected,98,换_A,1
624,Lyft,undirected,99,hasActor,1
624,Motivate,undirected,100,hasRecipient,1
Lyft,Motivate,undirected,101,acquisition,1
624,共享单车平台,undirected,102,hasObject,1
Motivate,共享单车平台,undirected,103,BelongTo,1
626,广州,undirected,104,hasActor,1
626,互联网租赁自行车运营商中标结果,undirected,105,hasObject,1
广州,互联网租赁自行车运营商中标结果,undirected,106,release,1
630,摩拜单车,undirected,107,hasActor,1
630,共享单车电子围栏,undirected,108,hasObject,1
摩拜单车,共享单车电子围栏,undirected,109,release,1
630,禁停区,undirected,110,hasObject,1
摩拜单车,禁停区,undirected,111,实现,1
共享单车电子围栏,禁停区,undirected,112,overlap,1
631,ofo,undirected,113,hasActor,1
631,估值融资,undirected,114,hasObject,1
ofo,估值融资,undirected,115,寻求,1
631,共享单车,undirected,116,hasObject,1
ofo,共享单车,undirected,117,BelongTo,1
632,联合国开发计划署,undirected,118,hasActor,1
632,一公里计划,undirected,119,hasObject,1
联合国开发计划署,一公里计划,undirected,120,启动_O,1
632,ofo,undirected,121,hasActor,1
联合国开发计划署,ofo,undirected,122,启动_A,1
ofo,一公里计划,undirected,123,启动_O,1
637,摩拜单车,undirected,124,hasActor,1
637,全国免押数据,undirected,125,hasObject,1
摩拜单车,全国免押数据,undirected,126,晒,1
638,摩拜单车,undirected,127,hasActor,1
638,单车零件创意跨界合作,undirected,128,hasObject,1
摩拜单车,单车零件创意跨界合作,undirected,129,发布_O,1
638,YUUE,undirected,130,hasActor,1
摩拜单车,YUUE,undirected,131,发布_A,1
YUUE,单车零件创意跨界合作,undirected,132,发布_O,1
639,杭州,undirected,133,hasActor,1
639,共享单车进小区,undirected,134,hasObject,1
杭州,共享单车进小区,undirected,135,禁止,1
640,小黄车商标所有人,undirected,136,hasActor,1
640,ofo,undirected,137,hasRecipient,1
小黄车商标所有人,ofo,undirected,138,诉_O,1
640,注册商标专用权,undirected,139,hasObject,1
小黄车商标所有人,注册商标专用权,undirected,140,诉_A,1
ofo,注册商标专用权,undirected,141,诉_P,1
642,共享单车,undirected,142,hasObject,1
642,深圳2017年立法计划,undirected,143,hasObject,1
共享单车,深圳2017年立法计划,undirected,144,列入,1
645,武汉,undirected,145,hasActor,1
645,共享单车,undirected,146,hasObject,1
武汉,共享单车,undirected,147,削减,1
648,美团,undirected,148,hasActor,1
648,共享单车亏损,undirected,149,hasObject,1
美团,共享单车亏损,undirected,150,收窄,1
650,oBike,undirected,151,hasActor,1
650,区块链,undirected,152,hasObject,1
oBike,区块链,undirected,153,试水,1
652,ofo,undirected,154,hasActor,1
652,信用免押金,undirected,155,hasObject,1
ofo,信用免押金,undirected,156,close,1
655,滴滴出行,undirected,157,hasActor,1
655,小蓝单车,undirected,158,hasRecipient,1
滴滴出行,小蓝单车,undirected,159,投放,1
656,一汽轿车,undirected,160,hasActor,1
656,摩拜出行,undirected,161,hasRecipient,1
一汽轿车,摩拜出行,undirected,162,invest,1
658,上海凤凰自行车,undirected,163,hasActor,1
658,ofo,undirected,164,hasRecipient,1
上海凤凰自行车,ofo,undirected,165,conflict,1
661,武汉,undirected,166,hasActor,1
661,共享单车,undirected,167,hasObject,1
武汉,共享单车,undirected,168,调减,1
661,市场提质增效,undirected,169,hasObject,1
武汉,市场提质增效,undirected,170,助推,1
384,摩拜单车,undirected,171,hasActor,1
384,新车,undirected,172,hasObject,1
摩拜单车,新车,undirected,173,没有投入,1
385,摩拜单车,undirected,174,hasActor,1
385,路易威登,undirected,175,hasRecipient,1
摩拜单车,路易威登,undirected,176,cooperate,1
385,奢侈品牌,undirected,177,hasObject,1
路易威登,奢侈品牌,undirected,178,BelongTo,1
389,H连锁酒店,undirected,179,hasRecipient,1
389,华住,undirected,180,hasActor,1
华住,H连锁酒店,undirected,181,invest,1
393,百世物流,undirected,182,hasActor,1
393,ofo,undirected,183,hasRecipient,1
百世物流,ofo,undirected,184,起诉_O,1
393,公路货物运输合同纠纷,undirected,185,hasObject,1
百世物流,公路货物运输合同纠纷,undirected,186,起诉_A,1
ofo,公路货物运输合同纠纷,undirected,187,起诉_P,1
400,ofo,undirected,188,hasActor,1
400,圣诞元旦出行预测报告,undirected,189,hasObject,1
ofo,圣诞元旦出行预测报告,undirected,190,release,1
401,共享单车,undirected,191,hasObject,1
401,小广告“新地盘”,undirected,192,hasObject,1
共享单车,小广告“新地盘”,undirected,193,成,1
403,ofo,undirected,194,hasActor,1
403,红包车,undirected,195,hasObject,1
ofo,红包车,undirected,196,重启,1
403,用户调度车辆,undirected,197,hasObject,1
ofo,用户调度车辆,undirected,198,激励,1
405,ofo,undirected,199,hasActor,1
405,韩国,undirected,200,hasRecipient,1
ofo,韩国,undirected,201,exit,1
443,Uber,undirected,202,hasActor,1
443,JumpBike,undirected,203,hasRecipient,1
Uber,JumpBike,undirected,204,acquisition,1
443,共享单车平台,undirected,205,hasObject,1
JumpBike,共享单车平台,undirected,206,BelongTo,1
444,拉勾云人事,undirected,207,hasActor,1
444,ofo,undirected,208,hasRecipient,1
拉勾云人事,ofo,undirected,209,合作_O,1
445,Limebike,undirected,210,hasActor,1
445,共享单车,undirected,211,hasObject,1
Limebike,共享单车,undirected,212,BelongTo,1
446,青桔单车,undirected,213,hasActor,1
446,计费规则,undirected,214,hasObject,1
青桔单车,计费规则,undirected,215,变更,1
2345,摩拜单车,undirected,216,hasActor,1
2345,骑行雨衣,undirected,217,hasObject,1
摩拜单车,骑行雨衣,undirected,218,release,1
2347,经纬,undirected,219,hasActor,1
2347,张颖,undirected,220,hasActor,1
经纬,张颖,undirected,221,co-occurrence,1
2348,小鸣单车,undirected,222,hasActor,1
2348,陈宇莹,undirected,223,hasActor,1
小鸣单车,陈宇莹,undirected,224,co-occurrence,1
2349,永安行,undirected,225,hasActor,1
2349,授权,undirected,226,hasObject,1
永安行,授权,undirected,227,买下,1
22,OssInversiones,undirected,228,hasActor,1
22,摩拜单车,undirected,229,hasRecipient,1
OssInversiones,摩拜单车,undirected,230,收购_O,1
22,国际业务,undirected,231,hasObject,1
OssInversiones,国际业务,undirected,232,收购_A,1
摩拜单车,国际业务,undirected,233,收购_P,1
22,拉美投资公司,undirected,234,hasObject,1
OssInversiones,拉美投资公司,undirected,235,BelongTo,1
24,ofo,undirected,236,hasActor,1
24,澳大利亚,undirected,237,hasRecipient,1
ofo,澳大利亚,undirected,238,exit,1
29,王兴,undirected,239,hasActor,1
29,摩拜单车,undirected,240,hasRecipient,1
王兴,摩拜单车,undirected,241,acquisition,1
30,ofo,undirected,242,hasActor,1
30,盈利,undirected,243,hasObject,1
ofo,盈利,undirected,244,实现,1
33,成都,undirected,245,hasActor,1
33,《关于鼓励共享单车发展试行意见》,undirected,246,hasObject,1
成都,《关于鼓励共享单车发展试行意见》,undirected,247,release,1
37,ofo,undirected,248,hasActor,1
37,马来西亚,undirected,249,hasRecipient,1
ofo,马来西亚,undirected,250,join,1
37,共享单车,undirected,251,hasObject,1
ofo,共享单车,undirected,252,投放,1
马来西亚,共享单车,undirected,253,投放,1
39,摩拜单车,undirected,254,hasActor,1
39,英国,undirected,255,hasRecipient,1
摩拜单车,英国,undirected,256,join,1
42,微信,undirected,257,hasActor,1
42,共享单车,undirected,258,hasObject,1
微信,共享单车,undirected,259,解锁,1
43,GoforeatTech,undirected,260,hasActor,1
43,天使轮融资,undirected,261,hasObject,1
43,有得食,undirected,262,hasActor,1
GoforeatTech,有得食,undirected,263,control,1
有得食,天使轮融资,undirected,264,完成,1
43,外卖平台,undirected,265,hasObject,1
有得食,外卖平台,undirected,266,BelongTo,1
44,嘀嗒拼车,undirected,267,hasActor,1
44,摩拜单车,undirected,268,hasRecipient,1
嘀嗒拼车,摩拜单车,undirected,269,cooperate,1
45,王兴,undirected,270,hasActor,1
45,摩拜单车,undirected,271,hasRecipient,1
50,支付宝,undirected,272,hasActor,1
50,共享单车畅骑月卡,undirected,273,hasObject,1
支付宝,共享单车畅骑月卡,undirected,274,release,1
52,ofo,undirected,275,hasActor,1
52,NFC支付技术,undirected,276,hasObject,1
ofo,NFC支付技术,undirected,277,研发,1
53,ofo,undirected,278,hasActor,1
53,Curve电子锁拉链器,undirected,279,hasObject,1
ofo,Curve电子锁拉链器,undirected,280,release,1
57,摩拜单车,undirected,281,hasActor,1
57,共享电单车,undirected,282,hasObject,1
摩拜单车,共享电单车,undirected,283,release,1
63,ofo,undirected,284,hasActor,1
63,导流费,undirected,285,hasObject,1
ofo,导流费,undirected,286,自降,1
67,法院,undirected,287,hasActor,1
67,小鸣单车,undirected,288,hasRecipient,1
法院,小鸣单车,undirected,289,通报_O,1
67,破产案,undirected,290,hasObject,1
法院,破产案,undirected,291,通报_A,1
小鸣单车,破产案,undirected,292,通报_P,1
56,云马C1,undirected,293,hasActor,1
56,淘宝,undirected,294,hasActor,1
云马C1,淘宝,undirected,295,众筹,1
56,电单车,undirected,296,hasObject,1
云马C1,电单车,undirected,297,BelongTo,1
68,上海,undirected,298,hasActor,1
68,共享单车限制令,undirected,299,hasObject,1
上海,共享单车限制令,undirected,300,出,1
68,共享单车新增车辆投放,undirected,301,hasObject,1
上海,共享单车新增车辆投放,undirected,302,exit,1
74,红旗连锁,undirected,303,hasActor,1
74,摩拜单车,undirected,304,hasRecipient,1
红旗连锁,摩拜单车,undirected,305,cooperate,1
75,ofo,undirected,306,hasActor,1
75,共享单车投放数量,undirected,307,hasObject,1
ofo,共享单车投放数量,undirected,308,锐减,1
70,永安行,undirected,309,hasActor,1
70,阜阳市出租汽车管理站,undirected,310,hasRecipient,1
永安行,阜阳市出租汽车管理站,undirected,311,获_O,1
70,网约车经营许可证,undirected,312,hasObject,1
永安行,网约车经营许可证,undirected,313,获_A,1
阜阳市出租汽车管理站,网约车经营许可证,undirected,314,获_P,1
80,南京,undirected,315,hasActor,1
80,无牌共享单车,undirected,316,hasObject,1
南京,无牌共享单车,undirected,317,清理,1
80,监管,undirected,318,hasObject,1
南京,监管,undirected,319,加大,1
81,摩拜单车,undirected,320,hasActor,1
81,印度,undirected,321,hasRecipient,1
摩拜单车,印度,undirected,322,join,1
81,中国共享单车平台,undirected,323,hasObject,1
摩拜单车,中国共享单车平台,undirected,324,BelongTo,1
84,摩拜单车,undirected,325,hasActor,1
84,智能停车点,undirected,326,hasObject,1
摩拜单车,智能停车点,undirected,327,设,1
85,ofo,undirected,328,hasActor,1
85,智享单车,undirected,329,hasRecipient,1
ofo,智享单车,undirected,330,接触,1
97,哈啰单车,undirected,331,hasActor,1
97,融资,undirected,332,hasObject,1
哈啰单车,融资,undirected,333,寻求,1
78,滴滴出行,undirected,334,hasActor,1
78,小蓝单车,undirected,335,hasRecipient,1
滴滴出行,小蓝单车,undirected,336,置换,1
82,北京通州区,undirected,337,hasActor,1
82,电子围栏试点,undirected,338,hasObject,1
北京通州区,电子围栏试点,undirected,339,大限临近,1
86,摩拜单车,undirected,340,hasActor,1
86,滴滴出行,undirected,341,hasRecipient,1
摩拜单车,滴滴出行,undirected,342,状告_O,1
86,共享单车车锁侵权,undirected,343,hasObject,1
摩拜单车,共享单车车锁侵权,undirected,344,状告_A,1
滴滴出行,共享单车车锁侵权,undirected,345,状告_P,1
93,ofo,undirected,346,hasActor,1
93,蚂蚁金服,undirected,347,hasRecipient,1
ofo,蚂蚁金服,undirected,348,获_O,1
93,战略投资,undirected,349,hasObject,1
ofo,战略投资,undirected,350,获_A,1
蚂蚁金服,战略投资,undirected,351,获_P,1
93,共享单车巨头,undirected,352,hasObject,1
ofo,共享单车巨头,undirected,353,BelongTo,1
98,交通部,undirected,354,hasActor,1
98,共享单车,undirected,355,hasObject,1
交通部,共享单车,undirected,356,回收清理,1
98,北京,undirected,357,hasActor,1
北京,共享单车,undirected,358,回收清理,1
100,滴滴出行,undirected,359,hasActor,1
100,小蓝单车,undirected,360,hasRecipient,1
滴滴出行,小蓝单车,undirected,361,运营,1
105,Gobeebike,undirected,362,hasActor,1
105,法国,undirected,363,hasRecipient,1
Gobeebike,法国,undirected,364,exit,1
105,香港共享单车,undirected,365,hasObject,1
Gobeebike,香港共享单车,undirected,366,BelongTo,1
138,北京西城区,undirected,367,hasActor,1
138,共享单车数量,undirected,368,hasObject,1
北京西城区,共享单车数量,undirected,369,控制,1
143,共享单车,undirected,370,hasObject,1
143,假冒二维码,undirected,371,hasObject,1
共享单车,假冒二维码,undirected,372,被贴,1
144,江城易单车,undirected,373,hasActor,1
144,武汉,undirected,374,hasRecipient,1
江城易单车,武汉,undirected,375,停止运营_O,1
144,公共自行车,undirected,376,hasObject,1
江城易单车,公共自行车,undirected,377,停止运营_A,1
武汉,公共自行车,undirected,378,停止运营_P,1
147,ofo,undirected,379,hasActor,1
147,理想国际大厦,undirected,380,hasRecipient,1
ofo,理想国际大厦,undirected,381,exit,1
148,摩拜单车,undirected,382,hasActor,1
148,日本,undirected,383,hasRecipient,1
摩拜单车,日本,undirected,384,投放_O,1
148,共享单车,undirected,385,hasObject,1
摩拜单车,共享单车,undirected,386,投放_A,1
日本,共享单车,undirected,387,投放_P,1
149,Ola,undirected,388,hasActor,1
149,共享单车服务,undirected,389,hasObject,1
Ola,共享单车服务,undirected,390,release,1
149,印度打车应用,undirected,391,hasObject,1
Ola,印度打车应用,undirected,392,BelongTo,1
153,微信,undirected,393,hasActor,1
153,共享单车,undirected,394,hasObject,1
微信,共享单车,undirected,395,解锁,1
154,ofo,undirected,396,hasActor,1
154,合并传言,undirected,397,hasObject,1
ofo,合并传言,undirected,398,辟谣,1
154,摩拜单车,undirected,399,hasActor,1
摩拜单车,合并传言,undirected,400,辟谣,1
155,云马电单车,undirected,401,hasActor,1
155,分时租赁,undirected,402,hasObject,1
云马电单车,分时租赁,undirected,403,release,1
158,ofo,undirected,404,hasActor,1
158,E2-1轮融资,undirected,405,hasObject,1
ofo,E2-1轮融资,undirected,406,完成,1
162,美团,undirected,407,hasActor,1
162,用户账号互通,undirected,408,hasObject,1
美团,用户账号互通,undirected,409,release,1
162,摩拜单车,undirected,410,hasActor,1
美团,摩拜单车,undirected,411,cooperate,1
摩拜单车,用户账号互通,undirected,412,release,1
163,上海凤凰自行车,undirected,413,hasActor,1
163,ofo,undirected,414,hasRecipient,1
上海凤凰自行车,ofo,undirected,415,达成_O,1
163,调解协议,undirected,416,hasObject,1
上海凤凰自行车,调解协议,undirected,417,达成_A,1
ofo,调解协议,undirected,418,达成_P,1
537,Uber,undirected,419,hasActor,1
537,新功能,undirected,420,hasObject,1
Uber,新功能,undirected,421,release,1
537,共享单车应用,undirected,422,hasObject,1
Uber,共享单车应用,undirected,423,一键切换,1
538,哈啰单车,undirected,424,hasActor,1
538,单车回收情况,undirected,425,hasObject,1
哈啰单车,单车回收情况,undirected,426,公开,1
539,ofo,undirected,427,hasActor,1
539,北九州市,undirected,428,hasRecipient,1
ofo,北九州市,undirected,429,投运,1
541,摩拜单车,undirected,430,hasActor,1
541,ofo,undirected,431,hasActor,1
542,ofo,undirected,432,hasActor,1
542,中信银行,undirected,433,hasRecipient,1
ofo,中信银行,undirected,434,cooperate,1
543,Lyft,undirected,435,hasActor,1
543,Motivate,undirected,436,hasRecipient,1
Lyft,Motivate,undirected,437,acquisition,1
543,美国打车服务,undirected,438,hasObject,1
Lyft,美国打车服务,undirected,439,BelongTo,1
543,北美最大单车出租公司,undirected,440,hasObject,1
Motivate,北美最大单车出租公司,undirected,441,BelongTo,1
544,永安行,undirected,442,hasActor,1
544,IPO,undirected,443,hasRecipient,1
永安行,IPO,undirected,444,暂缓,1
545,美国芝加哥,undirected,445,hasActor,1
545,共享单车乱停放,undirected,446,hasObject,1
美国芝加哥,共享单车乱停放,undirected,447,整治,1
557,北京通州区,undirected,448,hasActor,1
557,共享单车电子围栏,undirected,449,hasObject,1
北京通州区,共享单车电子围栏,undirected,450,试点,1
559,摩拜单车,undirected,451,hasActor,1
559,融资,undirected,452,hasObject,1
摩拜单车,融资,undirected,453,获,1
560,绍兴,undirected,454,hasActor,1
560,小鸣单车,undirected,455,hasRecipient,1
绍兴,小鸣单车,undirected,456,查扣,1
562,ofo,undirected,457,hasActor,1
562,被执行人,undirected,458,hasObject,1
ofo,被执行人,undirected,459,列入,1
565,ofo,undirected,460,hasActor,1
565,定制版“二八车”,undirected,461,hasObject,1
ofo,定制版“二八车”,undirected,462,release,1
566,摩拜单车,undirected,463,hasActor,1
566,E轮融资,undirected,464,hasObject,1
摩拜单车,E轮融资,undirected,465,完成,1
567,交通部,undirected,466,hasActor,1
567,办文报批程序,undirected,467,hasObject,1
交通部,办文报批程序,undirected,468,启动,1
569,摩拜单车,undirected,469,hasActor,1
569,悉尼,undirected,470,hasRecipient,1
摩拜单车,悉尼,undirected,471,join,1
570,美团,undirected,472,hasActor,1
570,收购协议,undirected,473,hasObject,1
美团,收购协议,undirected,474,达成,1
570,摩拜单车,undirected,475,hasActor,1
美团,摩拜单车,undirected,476,cooperate,1
摩拜单车,收购协议,undirected,477,达成,1
571,58速运,undirected,478,hasActor,1
571,摩拜单车,undirected,479,hasActor,1
58速运,摩拜单车,undirected,480,cooperate,1
572,ofo,undirected,481,hasActor,1
572,全民1块骑活动,undirected,482,hasObject,1
ofo,全民1块骑活动,undirected,483,release,1
574,ofo,undirected,484,hasActor,1
574,共享单车,undirected,485,hasObject,1
ofo,共享单车,undirected,486,release,1
574,华盛顿,undirected,487,hasActor,1
ofo,华盛顿,undirected,488,cooperate,1
华盛顿,共享单车,undirected,489,release,1
576,OurBike,undirected,490,hasActor,1
576,天使轮融资,undirected,491,hasObject,1
OurBike,天使轮融资,undirected,492,获,1
576,零一创投,undirected,493,hasActor,1
零一创投,OurBike,undirected,494,invest,1
576,出海共享单车,undirected,495,hasObject,1
OurBike,出海共享单车,undirected,496,BelongTo,1
578,交通部,undirected,497,hasActor,1
578,共享单车投放,undirected,498,hasObject,1
交通部,共享单车投放,undirected,499,暂停,1
579,ofo,undirected,500,hasActor,1
579,滴滴出行,undirected,501,hasRecipient,1
ofo,滴滴出行,undirected,502,接入,1
579,共享单车,undirected,503,hasObject,1
ofo,共享单车,undirected,504,BelongTo,1
581,摩拜单车,undirected,505,hasActor,1
581,联合国,undirected,506,hasRecipient,1
摩拜单车,联合国,undirected,507,cooperate,1
581,世界骑行日,undirected,508,hasObject,1
摩拜单车,世界骑行日,undirected,509,发起,1
联合国,世界骑行日,undirected,510,发起,1
582,微软,undirected,511,hasActor,1
582,Windows10ProforWorkstations,undirected,512,hasRecipient,1
微软,Windows10ProforWorkstations,undirected,513,release,1
584,ofo,undirected,514,hasActor,1
584,国庆出行预测报告,undirected,515,hasObject,1
ofo,国庆出行预测报告,undirected,516,release,1
584,百度地图,undirected,517,hasActor,1
ofo,百度地图,undirected,518,cooperate,1
百度地图,国庆出行预测报告,undirected,519,release,1
588,摩拜单车,undirected,520,hasActor,1
588,新加坡,undirected,521,hasRecipient,1
摩拜单车,新加坡,undirected,522,exit,1
588,牌照撤销申请,undirected,523,hasObject,1
摩拜单车,牌照撤销申请,undirected,524,提交,1
新加坡,牌照撤销申请,undirected,525,提交_P,1
593,ofo,undirected,526,hasActor,1
593,服务费,undirected,527,hasObject,1
ofo,服务费,undirected,528,被判,1
662,哈啰单车,undirected,529,hasActor,1
662,未备案率,undirected,530,hasObject,1
哈啰单车,未备案率,undirected,531,co-occurrence,1
663,西游单车,undirected,532,hasActor,1
663,红色旋风骑行活动,undirected,533,hasObject,1
西游单车,红色旋风骑行活动,undirected,534,offer,1
667,ofo,undirected,535,hasActor,1
667,中国信息通信研究院,undirected,536,hasRecipient,1
ofo,中国信息通信研究院,undirected,537,cooperate,1
671,优拜单车,undirected,538,hasActor,1
671,北京,undirected,539,hasRecipient,1
优拜单车,北京,undirected,540,join,1
672,北京,undirected,541,hasActor,1
672,共享单车投放数量,undirected,542,hasObject,1
北京,共享单车投放数量,undirected,543,过剩,1
673,QQ,undirected,544,hasActor,1
673,摩拜单车,undirected,545,hasRecipient,1
QQ,摩拜单车,undirected,546,接入,1
677,摩拜单车,undirected,547,hasActor,1
677,日本,undirected,548,hasRecipient,1
摩拜单车,日本,undirected,549,join,1
680,小蓝单车,undirected,550,hasActor,1
680,滴滴出行,undirected,551,hasRecipient,1
小蓝单车,滴滴出行,undirected,552,托管给,1
681,深圳,undirected,553,hasActor,1
681,共享单车新增车辆投放,undirected,554,hasObject,1
深圳,共享单车新增车辆投放,undirected,555,叫停,1
小驴单车,深圳,undirected,556,exit,1
小驴单车提请退出市场,小驴单车,undirected,557,hasActor,1
681,小驴单车提请退出市场,undirected,558,顺承,1
小驴单车提请退出市场,深圳,undirected,559,hasActor,1
76,永久出行,undirected,560,hasActor,1
76,融资,undirected,561,hasObject,1
永久出行,融资,undirected,562,获,1
76,上海凤凰自行车,undirected,563,hasActor,1
上海凤凰自行车,转型,undirected,564,放弃,1
76,转型,undirected,565,hasObject,1
106,戴威,undirected,566,hasActor,1
106,ofo,undirected,567,hasActor,1
戴威,ofo,undirected,568,co-occurrence,1
107,高德地图,undirected,569,hasActor,1
107,共享单车,undirected,570,hasObject,1
107,公交规划,undirected,571,hasObject,1
高德地图,公交规划,undirected,572,加入,1
共享单车,公交规划,undirected,573,加入,1
109,“黄金”单车,undirected,574,hasActor,1
109,带共享雨伞的新车,undirected,575,hasObject,1
“黄金”单车,带共享雨伞的新车,undirected,576,release,1
109,高唯伟,undirected,577,hasActor,1
“黄金”单车,高唯伟,undirected,578,co-occurence,1
110,骑电单车,undirected,579,hasActor,1
110,KYMCOCapital,undirected,580,hasActor,1
KYMCOCapital,骑电单车,undirected,581,invest,1
