Id,Label,Modularity Class
0,贡丸,1
1,猪肉,0
2,科学,1
3,生活,2
4,贡丸汤,3
5,可口,3
6,食品,23
7,沔阳三蒸,4
8,李和鸣,1
9,三鲜豆皮,5
10,热干面,14
11,特产,14
12,小吃,14
13,人物,9
14,洪山菜苔,6
15,红菜薹,6
16,菜品,30
17,糊汤粉,7
18,泡,8
19,面窝,7
20,蚝煎,9
21,广东潮州,9
22,鱼香肉丝,0
23,川菜,9
24,拌菠菜松,8
25,大众,8
26,金华馒头,7
27,悠久,7
28,杜称奇火烧,10
29,五香花生米,8
30,五香味,8
31,麻酱甜椒,11
32,休闲食品,11
33,拌三丝,7
34,川菜系,7
35,酸辣黄瓜,12
36,小菜,13
37,精盐,8
38,芝麻青椒丝,15
39,家常菜,14
40,咸鲜味,15
41,天妇罗,14
42,tempura,16
43,日本料理,8
44,油炸食品,17
45,葡萄牙,14
46,西米[棕榈树类的树干加工制成的可食用西米淀粉],18
47,sago,19
48,否,20
49,酸牛奶,16
50,yogurt,9
51,是,16
52,冷藏,20
53,太白粉,21
54,马铃薯,21
55,马铃薯淀粉,22
56,瑶柱,23
57,玉兰片,5
58,羊羹[食品],14
59,中国,24
60,云吞面[传统小吃],5
61,爽脆,25
62,粤菜,5
63,燕窝[传统食品],1
64,中药,1
65,天津三绝,26
66,中华美食,26
67,驰名中外,14
68,白汤,1
69,学科,20
70,醪糟汁,21
71,无,14
72,川系,21
73,慕斯蛋糕,20
74,甜味,20
75,明太子[中日韩料理],18
76,动物内脏,27
77,漫画,3
78,驴打滚,14
79,甜,16
80,语言,15
81,姜丝排叉,14
82,曲酒,28
83,谷物,7
84,四类,13
85,乙醇,0
86,喜饼,15
87,文化,15
88,艾窝窝,14
89,江米糕,14
90,老少咸宜,14
91,低温干燥,25
92,香甜,26
93,培根[猪肉烟熏肉制品],11
94,烟肉,28
95,冷冻,29
96,中国食品科学技术学会,11
97,椰果,26
98,提拉米苏[意大利甜点],20
99,金瓜粉蒸排骨,30
100,糖醋鲤鱼,31
101,鲁菜,31
102,面包[面包],14
103,冬瓜糖,15
104,臭豆腐[小吃],16
105,民俗,16
106,炒鱿鱼[菜品名称],15
107,鲜香,32
108,米线[食物名称],14
109,米粉,14
110,东坡肉,33
111,夫妻肺片,34
112,麻辣,34
113,口水鸡,34
114,羊蝎子,35
115,北京菜,35
116,过桥米线,7
117,云南菜,7
118,滇菜,18
119,酸辣粉[重庆小吃名称],23
120,红薯粉丝,23
121,腐竹,21
122,预防老年痴呆,14
123,糖醋排骨[中国名菜家常菜],7
124,酸甜,7
125,宜宾燃面,14
126,香辣,14
127,卤牛肉,12
128,一般,31
129,饼干[以面粉为主要原料烤制而成的片状西式点心],13
130,Biscuit,13
131,实体,1
132,值,36
133,大龙湫,34
134,芙蓉峰,6
135,剪刀峰,34
136,旅游,37
137,地理,38
138,地形地貌,7
139,五大夫松,18
140,地点,39
141,历史,18
142,灵峰,7
143,景区,10
144,雁荡山,14
145,乐清市,18
146,0577,27
147,半天,7
148,伊瓜苏市,8
149,葡萄牙语,16
150,城市,18
151,拉萨,14
152,逻些,14
153,日光城,14
154,地级市,22
155,高原山地气候,40
156,格桑花,21
157,赵王城,0
158,全天,9
159,10元,0
160,龙台,26
161,全年,14
162,灵隐寺[浙江杭州灵隐寺],8
163,亚热带季风气候,11
164,三生石,6
165,第七批全国重点文物保护单位,23
166,光泉法师,8
167,建筑,22
168,西湖[浙江省杭州市西湖],5
169,杭州西湖,5
170,免费,4
171,孤山,41
172,公园,23
173,黔灵公园,42
174,贵阳市,42
175,灵山大佛,10
176,0510,10
177,国家AAAAA级旅游景区,0
178,无锡市,35
179,荔波大小七孔,34
180,0854,21
181,中国喀斯特,34
182,太湖[江苏湖泊],19
183,震泽,20
