Source,Target,Type,Id,Label,Weight
0,1,undirected,0,界,1
0,2,undirected,1,纲,1
0,3,undirected,2,亚纲,1
0,4,undirected,3,目,1
0,5,undirected,4,科,1
0,6,undirected,5,族,1
0,7,undirected,6,属,1
0,8,undirected,7,标签,1
0,9,undirected,8,标签,1
1,10,undirected,9,界,1
1,19,undirected,10,界,1
1,22,undirected,11,界,1
1,25,undirected,12,界,1
1,28,undirected,13,界,1
1,37,undirected,14,界,1
1,40,undirected,15,界,1
1,44,undirected,16,界,1
1,48,undirected,17,界,1
1,54,undirected,18,界,1
1,58,undirected,19,界,1
1,60,undirected,20,界,1
1,62,undirected,21,界,1
1,2,undirected,22,界,1
1,71,undirected,23,界,1
1,72,undirected,24,界,1
1,82,undirected,25,界,1
1,85,undirected,26,界,1
1,86,undirected,27,界,1
1,89,undirected,28,界,1
1,90,undirected,29,界,1
1,93,undirected,30,界,1
1,98,undirected,31,界,1
1,100,undirected,32,界,1
1,104,undirected,33,界,1
1,106,undirected,34,界,1
1,109,undirected,35,界,1
1,114,undirected,36,界,1
1,115,undirected,37,界,1
1,120,undirected,38,界,1
1,122,undirected,39,界,1
1,124,undirected,40,界,1
1,125,undirected,41,界,1
1,130,undirected,42,界,1
1,136,undirected,43,界,1
1,137,undirected,44,界,1
1,139,undirected,45,界,1
1,143,undirected,46,界,1
1,151,undirected,47,界,1
1,154,undirected,48,界,1
1,156,undirected,49,界,1
1,159,undirected,50,界,1
2,19,undirected,51,纲,1
2,22,undirected,52,纲,1
2,25,undirected,53,纲,1
2,28,undirected,54,纲,1
2,37,undirected,55,纲,1
2,40,undirected,56,纲,1
2,44,undirected,57,纲,1
2,48,undirected,58,纲,1
2,54,undirected,59,纲,1
2,58,undirected,60,纲,1
2,60,undirected,61,纲,1
2,67,undirected,62,别称,1
2,68,undirected,63,门,1
2,69,undirected,64,亚门,1
2,70,undirected,65,根,1
2,43,undirected,66,标签,1
2,8,undirected,67,标签,1
2,71,undirected,68,纲,1
2,72,undirected,69,纲,1
2,85,undirected,70,纲,1
2,86,undirected,71,纲,1
2,89,undirected,72,纲,1
2,90,undirected,73,纲,1
2,93,undirected,74,纲,1
2,98,undirected,75,纲,1
2,100,undirected,76,纲,1
2,104,undirected,77,纲,1
2,106,undirected,78,纲,1
2,108,undirected,79,亚门,1
2,109,undirected,80,纲,1
2,114,undirected,81,纲,1
2,120,undirected,82,纲,1
2,122,undirected,83,纲,1
2,124,undirected,84,纲,1
2,125,undirected,85,纲,1
2,139,undirected,86,纲,1
3,10,undirected,87,亚纲,1
3,19,undirected,88,亚纲,1
3,37,undirected,89,亚纲,1
3,48,undirected,90,亚纲,1
3,54,undirected,91,亚纲,1
3,60,undirected,92,亚纲,1
3,72,undirected,93,亚纲,1
3,82,undirected,94,亚纲,1
3,86,undirected,95,亚纲,1
3,98,undirected,96,亚纲,1
3,100,undirected,97,亚纲,1
3,109,undirected,98,亚纲,1
4,19,undirected,99,目,1
4,60,undirected,100,目,1
4,98,undirected,101,目,1
4,100,undirected,102,目,1
4,125,undirected,103,目,1
5,19,undirected,104,科,1
5,44,undirected,105,科,1
5,85,undirected,106,科,1
8,19,undirected,107,标签,1
8,22,undirected,108,标签,1
8,28,undirected,109,标签,1
8,37,undirected,110,标签,1
8,40,undirected,111,标签,1
8,44,undirected,112,标签,1
8,48,undirected,113,标签,1
8,54,undirected,114,标签,1
8,58,undirected,115,标签,1
8,60,undirected,116,标签,1
8,62,undirected,117,标签,1
8,71,undirected,118,标签,1
8,72,undirected,119,标签,1
8,82,undirected,120,标签,1
8,86,undirected,121,标签,1
8,89,undirected,122,标签,1
8,93,undirected,123,标签,1
