Id,Label,timeset,modularity class,modularity_class
0,曼陀罗[一种被子植物门植物],,0,3
1,植物界,,1,6
2,双子叶植物纲,,0,0
3,菊亚纲,,2,3
4,茄目,,1,3
5,茄科,,0,6
6,曼陀罗族,,0,3
7,曼陀罗属,,2,3
8,生物物种,,2,7
9,医学术语,,0,3
10,蓬蒿,,2,2
19,颠茄,,2,3
22,玛格丽特花,,2,5
25,菊花[菊科菊属宿根草本植物],,2,5
28,栀子花[栀子花属植物],,1,1
37,大丽花[植物],,2,5
40,大岩桐,,2,6
44,五色椒,,2,6
48,五星花[茑萝的别称],,2,1
54,桔梗[桔梗属草本植物],,2,4
58,六月雪[茜草亚科植物],,1,1
60,人参果[茄科果实],,1,3
62,圣女果,,2,2
71,鳞茎,,2,0
72,牛蒡[植物],,2,5
82,藏茵陈,,2,3
85,枸杞,,0,6
86,蒲公英[菊科蒲公英属植物],,2,2
89,茼蒿[植物],,2,5
90,苦丁茶[冬青科冬青属植物],,1,6
93,马钱子[马钱科植物],,1,1
98,龙葵[一年生草本茄科植物],,1,3
100,牵牛[牵牛属植物],,1,6
104,茑萝松,,0,6
106,桔梗花[植物],,1,4
109,龙胆[中草药],,1,3
114,漏芦,,1,5
115,金钱草[金钱草一种植物],,1,7
120,红大戟,,0,1
122,红花[菊科、红花属植物],,2,5
124,番茄[茄科茄属植物],,2,6
125,红薯叶,,1,6
130,浮萍[水生植物],,2,7
136,四大名花,,1,6
137,洋枯梗,,2,6
139,醉蝶花,,1,0
143,贝母,,1,7
151,黄花菜[植物],,1,7
154,泽泻科,,2,7
156,萱草根,,1,7
159,郁金,,1,7
67,木兰纲,,2,0
68,种子植物门,,1,0
69,被子植物亚门,,2,0
70,直根系,,2,0
43,自然,,1,6
108,木香[草药],,0,5
128,风兰[兰科风兰属植物],,1,7
11,被子植物门,,1,6
12,菊目,,2,2
13,菊科,,1,5
14,春黄菊族,,1,5
15,茼蒿属,,2,2
16,茼蒿,,0,2
17,草本植物,,2,2
18,文学,,0,2
20,茄族,,2,3
21,植物,,2,3
23,桔梗目,,1,5
24,木茼蒿属,,2,5
36,雪莲[菊科风毛菊属高山草本植物],,1,5
26,合瓣花亚纲,,0,6
27,管状花亚科,,2,5
29,茜草目,,1,1
30,茜草科,,1,1
31,栀子族,,1,1
32,栀子属,,1,1
33,水横枝,,0,1
34,有丝分裂,,2,4
35,中国,,1,1
38,向日葵族,,2,5
39,大丽花属,,2,5
41,管状花目,,2,6
42,苦苣苔科,,2,6
45,辣椒属,,2,6
46,辣椒,,2,6
47,观赏植物,,2,6
49,龙胆目,,2,1
50,龙胆亚目,,1,1
51,金鸡纳亚科,,2,1
52,耳草族,,2,1
53,五星花属,,2,1
55,桔梗科,,2,4
56,桔梗亚科,,2,4
57,桔梗族,,1,4
59,白马骨族,,2,1
61,茄属,,1,3
63,菌类植物,,2,2
64,柿目,,2,2
65,果科,,2,2
66,樱桃番茄,,2,2
73,菜蓟族,,1,5
74,牛蒡属,,2,5
75,陆生植物,,2,5
76,二年生草本,,2,5
77,耐旱,,2,5
78,耐寒,,2,5
79,中性土壤,,1,5
80,无毒,,1,5
81,中药,,2,5
83,龙胆科,,1,3
84,医学,,1,3
87,舌状花亚科,,1,2
88,菊苣族,,2,2
91,管花目,,2,6
92,大叶冬青,,1,6
94,捩花目,,2,1
95,马钱族,,0,1
96,马钱属,,1,1
97,学科,,2,1
99,龙葵亚属,,1,3
101,旋花科,,2,6
102,旋花亚科,,2,6
103,番薯族,,1,6
105,茑萝属,,0,6
107,桔梗属,,2,4
110,龙胆亚科,,2,3
111,龙胆族,,2,3
112,龙胆属,,2,3
113,龙胆草,,1,3
116,镜面草,,1,7
117,报春花目,,2,7
118,报春花科,,2,7
119,珍珠菜属,,2,7
121,红芽大戟属,,0,1
123,红蓝花,,1,5
126,番薯,,2,6
127,生活,,1,6
129,天门冬目,,2,7
131,单子叶植物纲,,1,7
132,槟榔亚纲,,2,7
133,天南星目,,2,7
134,浮萍科,,1,7
135,浮萍属,,1,7
138,无,,2,6
140,五桠果亚纲,,1,0
141,十字花目,,2,0
142,白花菜属,,2,0
144,百合亚纲,,1,7
145,百合目,,0,7
146,百合亚目,,2,7
147,百合科,,1,7
148,异型组,,1,7
149,医生,,2,7
150,中医,,1,7
152,萱草族,,2,7
153,萱草属,,2,7
155,泽泻目,,2,7
157,有毒,,2,7
158,药品,,1,7
160,姜目,,1,7
161,姜科,,1,7
162,姜黄属,,1,7
