Id,Label,Modularity Class
0,贡丸,3
1,猪肉,3
2,科学,3
3,生活,1
4,贡丸汤,3
5,可口,3
6,食品,3
7,沔阳三蒸,21
8,李和鸣,21
9,三鲜豆皮,1
10,热干面,5
11,特产,5
12,小吃,1
13,人物,5
14,洪山菜苔,3
15,红菜薹,3
16,菜品,3
17,糊汤粉,1
18,泡,1
19,面窝,1
20,蚝煎,5
21,广东潮州,5
22,鱼香肉丝,1
23,川菜,1
24,拌菠菜松,3
25,大众,3
26,金华馒头,3
27,悠久,3
28,杜称奇火烧,1
29,五香花生米,1
30,五香味,1
31,麻酱甜椒,3
32,休闲食品,3
33,拌三丝,3
34,川菜系,3
35,酸辣黄瓜,3
36,小菜,3
37,精盐,3
38,芝麻青椒丝,18
39,家常菜,18
40,咸鲜味,18
41,天妇罗,3
42,tempura,3
43,日本料理,3
44,油炸食品,3
45,葡萄牙,3
46,西米[棕榈树类的树干加工制成的可食用西米淀粉],1
47,sago,1
48,否,1
49,酸牛奶,1
50,yogurt,1
51,是,1
52,冷藏,1
53,太白粉,3
54,马铃薯,3
55,马铃薯淀粉,3
56,瑶柱,1
57,玉兰片,3
58,羊羹[食品],1
59,中国,2
60,云吞面[传统小吃],1
61,爽脆,1
62,粤菜,1
63,燕窝[传统食品],3
64,中药,3
65,天津三绝,1
66,中华美食,1
67,驰名中外,1
68,白汤,3
69,学科,3
70,醪糟汁,1
71,无,1
72,川系,1
73,慕斯蛋糕,1
74,甜味,1
75,明太子[中日韩料理],3
76,动物内脏,3
77,漫画,3
78,驴打滚,5
79,甜,5
80,语言,5
81,姜丝排叉,1
82,曲酒,15
83,谷物,15
84,四类,15
85,乙醇,15
86,喜饼,5
87,文化,5
88,艾窝窝,1
89,江米糕,1
90,老少咸宜,1
91,低温干燥,1
92,香甜,1
93,培根[猪肉烟熏肉制品],1
94,烟肉,1
95,冷冻,1
96,中国食品科学技术学会,1
97,椰果,3
98,提拉米苏[意大利甜点],1
99,金瓜粉蒸排骨,3
100,糖醋鲤鱼,1
101,鲁菜,1
102,面包[面包],3
103,冬瓜糖,1
104,臭豆腐[小吃],5
105,民俗,5
106,炒鱿鱼[菜品名称],12
107,鲜香,12
108,米线[食物名称],1
109,米粉,1
110,东坡肉,3
111,夫妻肺片,1
112,麻辣,1
113,口水鸡,1
114,羊蝎子,1
115,北京菜,1
116,过桥米线,12
117,云南菜,12
118,滇菜,12
119,酸辣粉[重庆小吃名称],3
120,红薯粉丝,3
121,腐竹,1
122,预防老年痴呆,1
123,糖醋排骨[中国名菜家常菜],3
124,酸甜,3
125,宜宾燃面,1
126,香辣,1
127,卤牛肉,1
128,一般,1
129,饼干[以面粉为主要原料烤制而成的片状西式点心],22
130,Biscuit,22
131,实体,23
132,值,23
133,大龙湫,0
134,芙蓉峰,0
135,剪刀峰,0
136,旅游,0
137,地理,0
138,地形地貌,0
139,五大夫松,0
140,地点,0
141,历史,0
142,灵峰,0
143,景区,0
144,雁荡山,0
145,乐清市,0
146,0577,0
147,半天,0
148,伊瓜苏市,8
149,葡萄牙语,8
150,城市,8
151,拉萨,8
152,逻些,8
153,日光城,8
154,地级市,8
155,高原山地气候,8
156,格桑花,8
157,赵王城,7
158,全天,7
159,10元,7
160,龙台,7
161,全年,7
162,灵隐寺[浙江杭州灵隐寺],4
163,亚热带季风气候,2
164,三生石,4
165,第七批全国重点文物保护单位,4
166,光泉法师,4
167,建筑,5
168,西湖[浙江省杭州市西湖],2
169,杭州西湖,2
170,免费,2
171,孤山,2
172,公园,2
173,黔灵公园,0
174,贵阳市,0
175,灵山大佛,2
176,0510,2
177,国家AAAAA级旅游景区,2
178,无锡市,2
179,荔波大小七孔,0
180,0854,0
181,中国喀斯特,0
182,太湖[江苏湖泊],2
183,震泽,2
184,五湖,2
185,长江水系,2
186,水利部发展研究中心,2
187,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],2
188,湘U,2
189,0743,2
190,天河潭,9
191,贵州省贵阳市,9
192,喀斯特地貌,9
193,吴中蕃,9
194,24小时,9
195,花溪公园,9
196,AAA级,9
197,高原明珠,9
198,三潭印月[西湖十景之一],0
199,亚热带季风性气候,0
200,小瀛洲,0
201,遵义会议会址,4
202,第一批全国重点文物保护单位,4
203,国务院,4
204,1935年,4
205,黄果树风景名胜区,19
206,黄果树瀑布,19
207,贵州省安顺市,19
208,香港青马大桥,5
209,香港8号干线,5
210,00852,5
211,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],6
212,温带季风气候,0
213,公元493年,6
214,伊阙,6
215,全国重点文物保护单位,6
216,河南省洛阳市,6
217,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],6
218,常住院,6
219,初祖庵,6
220,塔林,6
221,大雄宝殿,6
222,藏经阁,6
223,495年,6
224,禅宗,6
225,禅宗祖庭,6
226,北魏,6
227,释永信,6
228,佛教,6
229,户部巷,2
230,武汉东湖风景区,2
231,027,2
