Source,Target,Type,Id,Label,Weight
0,1,undirected,0,主要食材,1
0,2,undirected,1,标签,1
0,3,undirected,2,标签,1
1,110,undirected,3,主要食材,1
3,9,undirected,4,标签,1
3,17,undirected,5,标签,1
3,19,undirected,6,标签,1
3,28,undirected,7,标签,1
3,29,undirected,8,标签,1
3,33,undirected,9,标签,1
3,46,undirected,10,标签,1
3,56,undirected,11,标签,1
3,58,undirected,12,标签,1
3,60,undirected,13,标签,1
3,65,undirected,14,标签,1
3,68,undirected,15,标签,1
3,70,undirected,16,标签,1
3,73,undirected,17,标签,1
3,81,undirected,18,标签,1
3,82,undirected,19,标签,1
3,88,undirected,20,标签,1
3,93,undirected,21,标签,1
3,98,undirected,22,标签,1
3,100,undirected,23,标签,1
3,103,undirected,24,标签,1
3,108,undirected,25,标签,1
3,114,undirected,26,标签,1
3,116,undirected,27,标签,1
3,121,undirected,28,标签,1
3,127,undirected,29,标签,1
4,5,undirected,30,口味,1
4,6,undirected,31,标签,1
5,31,undirected,32,口味,1
6,14,undirected,33,标签,1
6,24,undirected,34,标签,1
6,31,undirected,35,标签,1
6,33,undirected,36,标签,1
6,41,undirected,37,标签,1
6,53,undirected,38,标签,1
6,57,undirected,39,标签,1
6,68,undirected,40,标签,1
6,73,undirected,41,标签,1
6,75,undirected,42,类型,1
6,97,undirected,43,标签,1
6,102,undirected,44,标签,1
6,106,undirected,45,标签,1
6,110,undirected,46,标签,1
6,111,undirected,47,标签,1
6,119,undirected,48,标签,1
6,123,undirected,49,标签,1
7,8,undirected,50,非遗传承人,1
10,11,undirected,51,标签,1
10,12,undirected,52,标签,1
10,13,undirected,53,标签,1
11,78,undirected,54,标签,1
11,104,undirected,55,标签,1
12,22,undirected,56,标签,1
12,41,undirected,57,标签,1
12,73,undirected,58,标签,1
12,78,undirected,59,标签,1
12,88,undirected,60,标签,1
12,100,undirected,61,标签,1
12,108,undirected,62,性质,1
12,111,undirected,63,标签,1
12,113,undirected,64,标签,1
12,125,undirected,65,标签,1
13,20,undirected,66,标签,1
14,15,undirected,67,俗称,1
14,16,undirected,68,标签,1
16,24,undirected,69,标签,1
