华硕[世界著名电脑品牌],创立时间,1989年
株式会社,标签,组织机构
株式会社,标签,公司
实况足球[Konami开发的游戏系列],开发商,KONAMI
泰坦[希腊神话中的神族],其他名称,Titan
泰坦[希腊神话中的神族],象征,自然现象
泰坦[希腊神话中的神族],标签,神话人物
泰坦[希腊神话中的神族],标签,人物
代理服务器,外文名,Proxy Server
代理服务器,作用,防火墙
代理服务器,标签,中国电子学会
代理服务器,标签,网站
代理服务器,标签,学科
耽美[文学词汇],起源,日本
耽美[文学词汇],标签,漫画
耽美[文学词汇],标签,动画
沉珂,血型,B型
明太子[中日韩料理],标签,漫画
王力宏,主要作品,月光游侠
视觉摇滚,发展,日本
视觉摇滚,标签,音乐
宣萱,主要作品,奉子成婚
矢野浩二,国籍,日本
矢野浩二,民族,大和
矢野浩二,星座,水瓶座
矢野浩二,出生地,大阪府
矢野浩二,主要作品,新宿SEVEN
日本[日本国],官方语言,日语
何勇[摇滚歌手、魔岩三杰之一],星座,水瓶座
王刚[中国内地影视男演员、主持人],主要作品,青春无悔
棋魂[堀田由美原作小畑健作画的漫画],类型,少年漫画
棋魂[堀田由美原作小畑健作画的漫画],地区,日本
棋魂[堀田由美原作小畑健作画的漫画],出版社,集英社
棋魂[堀田由美原作小畑健作画的漫画],监修,梅泽由香里
亚伯拉罕·林肯[美国第16任总统],血型,B型
亚伯拉罕·林肯[美国第16任总统],星座,水瓶座
人[生物物种],别称,人类
姚明[中国篮球协会主席、中职联公司董事长],血型,B型
动漫,标签,漫画
动漫,标签,动画
火影忍者[岸本齐史创作的少年漫画],地区,日本
火影忍者[岸本齐史创作的少年漫画],连载杂志,周刊少年JUMP
火影忍者[岸本齐史创作的少年漫画],出版社,集英社
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],别名,托马斯·爱迪生
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],逝世日期,1931年10月18日
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],血型,O型
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],星座,水瓶座
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],标签,科学家
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],标签,物理学家
托马斯·阿尔瓦·爱迪生[美国著名发明家、企业家],标签,人物
马化腾,婚姻,已婚
微软,微软技术顾问,比尔·盖茨
梁咏琪,代表作品,日向花火
俄罗斯[俄罗斯联邦],国花,向日葵
奔驰[汽车],总部地点,德国
奔驰[汽车],成立时间,1871年
奔驰[汽车],创始人,戈特利布·戴姆勒
奔驰[汽车],所属公司,戴姆勒集团
情人节[爱情节日],节日类型,传统节日
情人节[爱情节日],节日饮食,巧克力
情人节[爱情节日],节日意义,有情人终成眷属
情人节[爱情节日],西方情人节,2月14日
情人节[爱情节日],中国典故,牛郎织女
边江[中国内地配音男演员],星座,双子座
除夕[中国传统节日],起源时间,先秦时期
除夕[中国传统节日],最早除夕,1月20日
除夕[中国传统节日],最晚除夕,2月19日
除夕[中国传统节日],标签,社会
周华健,血型,B型
周华健,代表作品,朋友
北京市西城外国语学校,创办时间,1989年
北京市西城外国语学校,学校类型,综合
北京市西城外国语学校,标签,社会
小杉十郎太,国籍,日本
小杉十郎太,星座,射手座
小杉十郎太,血型,A型
小杉十郎太,出生日期,1957年12月19日
小杉十郎太,职业,声优
小杉十郎太,经纪公司,大泽事务所
小杉十郎太,代表作品,织田信长
小杉十郎太,代表作品,机动战士Z高达
小杉十郎太,代表作品,战国无双
林俊杰[新加坡创作型男歌手、音乐制作人],主要作品,杀手
赵本山,血型,B型
章子怡,星座,水瓶座
张庭,星座,双子座
宫崎骏,国籍,日本
宫崎骏,民族,大和
宫崎骏,职业,动画导演
宫崎骏,毕业院校,日本东京学习院大学
宫崎骏,血型,O型血
宫崎骏,星座,魔羯座
宫崎骏,儿子,宫崎吾朗
宫崎骏,儿子,宫崎敬介
宫崎骏,好友,久石让
宫崎骏,学生,庵野秀明
宫崎骏,代表作品,千与千寻
宫崎骏,代表作品,天空之城
宫崎骏,代表作品,幽灵公主
宫崎骏,代表作品,风之谷
宫崎骏,代表作品,龙猫
宫崎骏,代表作品,侧耳倾听
宫崎骏,代表作品,起风了
宫崎骏,代表作品,哈尔的移动城堡
宫崎骏,代表作品,红猪
宫崎骏,标签,音乐人物
宫崎骏,标签,编剧
宫崎骏,标签,漫画
宫崎骏,标签,导演
宫崎骏,标签,制作人
宫崎骏,标签,人物
名侦探柯南[漫画改编的长篇电视动画],地区,日本
名侦探柯南[漫画改编的长篇电视动画],原作,青山刚昌
名侦探柯南[漫画改编的长篇电视动画],音乐,大野克夫
名侦探柯南[漫画改编的长篇电视动画],出品人,诹访道彦
航海王[日本漫画家尾田荣一郎创作漫画],其他名称,海贼王
航海王[日本漫画家尾田荣一郎创作漫画],类型,少年漫画
航海王[日本漫画家尾田荣一郎创作漫画],连载杂志,周刊少年JUMP
航海王[日本漫画家尾田荣一郎创作漫画],出版社,集英社
航海王[日本漫画家尾田荣一郎创作漫画],标签,美术作品
黄家驹[中国香港歌手、音乐人、吉他手、Beyond主唱],星座,双子座
泽尻绘里香,国籍,日本
泽尻绘里香,星座,白羊座
泽尻绘里香,血型,A型
泽尻绘里香,出生日期,1986年4月8日
泽尻绘里香,职业,演员
泽尻绘里香,职业,歌手
泽尻绘里香,职业,模特
泽尻绘里香,职业,主持人
泽尻绘里香,代表作品,无敌青春
泽尻绘里香,代表作品,一公升的眼泪
泽尻绘里香,代表作品,狼狈
泽尻绘里香,代表作品,太阳之歌
泽尻绘里香,前夫,高城刚
泽尻绘里香,前男友,松田翔太
泽尻绘里香,主要作品,拥抱猫咪
泽尻绘里香,主要作品,不能犯
泽尻绘里香,主要作品,新宿天鹅
泽尻绘里香,主要作品,尘封笔记本
泽尻绘里香,主要作品,信
泽尻绘里香,主要作品,天使之卵
泽尻绘里香,主要作品,天使的梯子
泽尻绘里香,主要作品,遗失物
泽尻绘里香,主要作品,风味绝佳
泽尻绘里香,主要作品,间宫兄弟
泽尻绘里香,主要作品,甲贺忍法帖
泽尻绘里香,主要作品,阿修罗城之瞳
泽尻绘里香,主要作品,没有问题的我们
泽尻绘里香,主要作品,成为母亲
泽尻绘里香,主要作品,失明的淑则老师～失去光明心可见～
泽尻绘里香,主要作品,大奥
泽尻绘里香,主要作品,欢迎来我家
泽尻绘里香,主要作品,FIRST CLASS 2
泽尻绘里香,主要作品,FIRST CLASS
泽尻绘里香,主要作品,钟表店的女儿
泽尻绘里香,主要作品,有关恶女
泽尻绘里香,主要作品,L et M我爱你的理由和其他的故事
泽尻绘里香,主要作品,一公升的眼泪特别篇~追忆~
泽尻绘里香,主要作品,零的彼方~THE WINDS OF GOD~
泽尻绘里香,主要作品,牵绊的爱
泽尻绘里香,主要作品,给天堂的加油歌
泽尻绘里香,主要作品,月在冬天的天空闪耀
泽尻绘里香,主要作品,直到樱花绽放
泽尻绘里香,主要作品,献给一个夏天的爸爸
泽尻绘里香,主要作品,热血男儿
泽尻绘里香,主要作品,朋友
泽尻绘里香,标签,人物
华南理工大学,博士后流动站,26
古龙[著名武侠小说家],星座,双子座
石原贵雅,国籍,日本
CorelDRAW,首次发布时间,1989年
方文山,星座,水瓶座
方文山,婚姻状况,已婚
钟汉良,主要作品,赏金猎人
张作霖,血型,B型
龟梨和也,国籍,日本
龟梨和也,星座,双鱼座
龟梨和也,血型,B型
龟梨和也,出生日期,1986年2月23日
龟梨和也,职业,歌手
龟梨和也,职业,演员
龟梨和也,职业,主持人
龟梨和也,职业,主播
龟梨和也,职业,制作人
龟梨和也,经纪公司,杰尼斯事务所
龟梨和也,代表作品,妖怪人间贝姆
龟梨和也,代表作品,野猪大改造
龟梨和也,代表作品,唯爱
龟梨和也,代表作品,极道鲜师2
龟梨和也,代表作品,完美小姐进化论
龟梨和也,好友,坂本勇人
龟梨和也,好友,西冈刚
龟梨和也,主要作品,FINAL CUT
龟梨和也,主要作品,我命中注定的人
龟梨和也,主要作品,怪盗山猫
龟梨和也,主要作品,东京风潮～下町大家族物语
龟梨和也,主要作品,屠龙青年团
龟梨和也,主要作品,MR.BRAIN
龟梨和也,主要作品,神之雫
龟梨和也,主要作品,一磅的福音
龟梨和也,主要作品,特急田中三号
龟梨和也,主要作品,勇气
龟梨和也,主要作品,恋爱补给品
龟梨和也,主要作品,史上最恶约会
龟梨和也,主要作品,美丽之星
龟梨和也,主要作品,P和JK
龟梨和也,主要作品,温哥华的朝日
龟梨和也,主要作品,俺俺
龟梨和也,主要作品,极道鲜师电影版
龟梨和也,标签,人物
刘亦菲[华语影视女演员、歌手],血型,B型
森久保祥太郎,国籍,日本
森久保祥太郎,星座,双鱼座
森久保祥太郎,血型,B型
森久保祥太郎,职业,声优
森久保祥太郎,职业,演员
森久保祥太郎,职业,歌手
森久保祥太郎,职业,吉他手
森久保祥太郎,职业,DJ
森久保祥太郎,职业,监督
森久保祥太郎,职业,脚本家
森久保祥太郎,职业,主持人
森久保祥太郎,出道时间,1996年
森久保祥太郎,婚姻状况,已婚
森久保祥太郎,讨厌的食物,水果
森久保祥太郎,诞生花,玫瑰
森久保祥太郎,最喜欢的花,向日葵
森久保祥太郎,前妻,浅川悠
森久保祥太郎,好友,伊藤健太郎
森久保祥太郎,代表作品,航海王
森久保祥太郎,代表作品,闪灵二人组
森久保祥太郎,代表作品,火影忍者
森久保祥太郎,代表作品,薄樱鬼
倪虹洁,星座,双子座
银河天使,类型,动画
银河天使,地区,日本
山下智久,别名,山P
山下智久,国籍,日本
山下智久,民族,大和民族
山下智久,星座,白羊座
山下智久,血型,A型
山下智久,出生日期,1985年4月9日
山下智久,职业,歌手
山下智久,职业,演员
山下智久,经纪公司,杰尼斯事务所
山下智久,代表作品,野猪大改造
山下智久,代表作品,求婚大作战
山下智久,代表作品,零秒出手
山下智久,代表作品,Code Blue
山下智久,代表作品,SUMMER NUDE
山下智久,代表作品,献给阿尔吉侬的花束
山下智久,妹妹,山下莉奈
山下智久,好友,城田优
山下智久,好友,泷泽秀明
山下智久,好友,山崎努
山下智久,代表作品,CODE BLUE
山下智久,代表作品,近距离恋爱
山下智久,主要作品,我命中注定的人
山下智久,主要作品,朝5晚9~帅气和尚爱上我~
山下智久,主要作品,MONSTERS
山下智久,主要作品,最完美的人生终点
山下智久,主要作品,欺诈猎人
山下智久,主要作品,龙樱
山下智久,主要作品,像暴风雨般的恋爱
山下智久,主要作品,Stand UP!!
山下智久,主要作品,午餐女王
山下智久,主要作品,漂流教室
山下智久,主要作品,不平则鸣
山下智久,主要作品,池袋西口公园
山下智久,主要作品,危险关系
山下智久,主要作品,青春男孩
山下智久,主要作品,青春少年们
山下智久,主要作品,解码者
