Id,Label,timeset,modularity_class
"实体",,,0
"值",,,0
"红色食品",,,14
"否",,,14
"非科学",,,1
"生活",,,14
"大龙湫",,,16
"芙蓉峰",,,16
"剪刀峰",,,16
"中国",,,3
"旅游",,,16
"地理",,,16
"地形地貌",,,16
"五大夫松",,,16
"地点",,,16
"历史",,,22
"灵峰",,,3
"景区",,,3
"雁荡山",,,3
"乐清市",,,3
0577,,,16
"半天",,,16
"滴度",,,1
"效价",,,1
"医学",,,1
"三大污染",,,22
"社会",,,22
"奥林匹克精神",,,22
"体育协会",,,15
"山脉",,,16
"亚健康",,,1
"内科",,,1
"无",,,1
"文化",,,5
"磁筹",,,1
"科学",,,1
"多糖体",,,1
polysaccharide,,,1
"动植物",,,1
"医学术语",,,1
"互联网产品",,,1
"萝卜腿",,,1
"疾病",,,1
"信息化",,,1
"釉质",,,1
"动物界",,,8
"学科",,,1
"超线程",,,1
2002年,,,29
"英特尔",,,1
"软件",,,1
"技术",,,1
"贡丸",,,14
"猪肉",,,14
"代码",,,1
"程序员",,,1
"中国电子学会",,,1
"百度百科",,,1
2006年4月20日,,,1
"百科蝌蚪团",,,1
"百科明星团",,,1
"用科技让复杂的世界更简单",,,1
"回溯法",,,1
A股,,,22
T+1,,,22
"股票经济术语",,,22
"金融",,,22
"教育",,,29
"免费域名",,,1
"网站",,,1
"股权分置",,,22
"社会公众股",,,22
"经济",,,22
"域名",,,1
"互联网",,,1
"公司",,,4
"绿茶[茶叶品种]",,,14
"苦茗",,,14
"特产",,,14
"围绝经期综合征",,,1
"妇产科",,,1
"镜像站点",,,1
"幻听[许嵩演唱歌曲]",,,2
"《梦游计》",,,2
"流行",,,2
"黄中平",,,2
"普通话",,,2
"音乐作品",,,2
"流行音乐",,,2
"单曲",,,2
"馒头[中国传统食物]",,,14
"冷藏",,,14
"南方地区",,,14
"诸葛亮",,,14
psp[日本SONY公司开发的多功能掌机系列],,,1
"掌上游戏机",,,1
2004年12月12日,,,1
UMD,,,1
"结构化查询语言",,,1
"数据库",,,1
"通信技术",,,1
"软件[按照特定顺序组织的计算机数据和指令的集合]",,,1
"棒球[体育运动]",,,15
baseball,,,15
"扇形",,,15
"体育项目",,,15
"诺顿[国产三维动画《画江湖之换世门生》角色]",,,3
"王凯",,,3
"男",,,3
"鸿门",,,3
"人物",,,3
"暴风影音[电脑版软件]",,,1
"北京暴风科技股份有限公司",,,1
"简体中文",,,1
"免费",,,16
"冯鑫",,,1
MVC框架,,,16
1982年,,,16
"自动取款机[自动柜员机]",,,15
1967年,,,15
"乱码[汉语词语]",,,1
"汇编语言[面向机器的程序设计语言]",,,1
"软件工程",,,1
UBB代码,,,1
"个人所得税",,,1
"缺省",,,1
"脂肪[油性物质]",,,14
"中国食品科学技术学会",,,14
Java[计算机编程语言],,,1
"副本率",,,1
"嵌入式开发",,,1
"机器码",,,1
"识别码",,,1
"概念",,,1
"中国通信学会",,,1
"还原精灵",,,1
"安全软件",,,1
"果酸",,,4
"化妆品",,,4
"专有名词",,,1
"禅学",,,22
"梵文",,,22
"佛教",,,22
"宗教",,,22
"电骡",,,1
"解压缩软件",,,1
"压缩工具",,,1
"掩码",,,1
"缓存",,,1
IT,,,1
"硬件",,,1
"光域网",,,1
"转义字符",,,1
"阿门[犹太教、基督宗教的宗教用语]",,,22
"希伯来语",,,22
"但愿如此",,,22
"梭哈",,,22
"过敏性鼻炎",,,1
"耳鼻喉科",,,1
"磁盘碎片",,,1
"文件碎片",,,1
"赔率",,,15
odds,,,15
"欧洲",,,15
1790年,,,15
"足球",,,15
"达赖",,,3
"蒙古族",,,3
"可扩展标记语言",,,1
"华硕[世界著名电脑品牌]",,,4
1989年,,,16
"徐世昌",,,4
"童子贤",,,4
"廖敏雄",,,4
"谢伟琦",,,4
"华硕电脑股份有限公司",,,4
"中国台湾",,,2
"大牌",,,4
"组织机构",,,29
"笔记本电脑",,,4
"知名品牌",,,4
"手机品牌",,,4
"奢侈品牌",,,4
"中国品牌",,,4
"般若[宗教术语]",,,22
ost[原声配乐],,,2
"音乐",,,2
"西汉长信宫灯",,,22
1968年,,,3
"河北省博物馆",,,22
"铜器",,,22
"不二法门[汉语成语佛学词汇]",,,5
"语言",,,5
"字词",,,5
"宏[计算机术语]",,,1
"佛教四大圣地",,,22
"佛教四大名山",,,22
cfo,,,3
"首席财务官",,,3
"官员",,,3
"第五类接触",,,1
"罗斯威尔事件",,,1
UFO,,,1
"艺术作品",,,13
"书籍",,,5
diy,,,14
"是",,,14
"美国有线电视新闻网",,,1
CNN,,,1
"特德·特纳",,,1
"脚本[汉语词语]",,,1
script,,,1
"电子公告牌系统",,,1
BBS,,,1
"吉祥三宝[布仁巴雅尔、乌日娜、英格玛演唱歌曲]",,,2
"天边",,,2
2005年,,,2
"回魂夜[香港电影]",,,2
"整鬼专家",,,2
1995年,,,4
"刘镇伟",,,2
"技安",,,2
"夏泽信",,,2
"彩色",,,2
"喜剧电影",,,2
"科幻电影",,,2
"恐怖电影",,,2
"电影作品",,,2
PHP[超文本预处理器],,,1
Rasmus Lerdorf,,,1
"美国联邦调查局",,,29
1935年,,,29
"约翰·埃德加·胡佛",,,29
"政府机构",,,22
mr.right[真命天子],,,5
Eenie Meenie,,,5
"国内生产总值",,,22
GDP,,,22
"""demo[""""demonstration""""的缩写]""",,,1
"原型",,,1
Zip[压缩文件格式],,,1
"菲利普·卡兹",,,1
"即心即佛",,,29
"财务挂账",,,5
"财政政策",,,22
"脱口秀",,,3
"娱乐",,,2
vj,,,22
"影像",,,22
"欧美",,,22
"拨备率",,,22
"数来宝",,,2
"曲艺",,,2
"北京市东城区",,,16
"隐蔽工程",,,16
"建筑",,,16
Google,,,1
1998年9月4日,,,1
"上市公司",,,29
"埃里克·施密特",,,1
"桑达尔·皮查伊",,,1
"尼科什·阿罗拉",,,1
"帕特里克·皮切特",,,1
"入定",,,22
"小说",,,5
tips,,,1
"学分制",,,29
"齐人之福",,,5
"原文",,,5
"成语",,,5
"生物工程",,,29
bioengineering,,,29
"四年",,,29
"工学学士",,,29
"大学",,,29
"被动语态",,,5
"语言学",,,5
"婴儿肥",,,14
"脸部",,,14
"人脉[交际学名词]",,,5
"弥散[汉语词汇]",,,16
ova[原创动画录影带],,,6
OVA,,,6
"变应原",,,1
"超敏反应",,,1
"非生物",,,1
qs[企业食品生产许可],,,22
"政治",,,22
"开光[汉语词语]",,,3
"道教",,,3
"南无阿弥陀佛[佛教术语]",,,7
"无量寿佛",,,7
"涅槃[佛教用语]",,,22
"西方极乐世界",,,22
"三长之制",,,22
"李冲",,,22
"古代史",,,22
"宾语",,,5
object,,,5
"受词",,,5
"动作",,,2
"独立主格结构",,,1
"电子信息工程",,,29
"工学",,,29
"电气信息类",,,29
"笔仙[2012年安兵基执导，梅婷主演惊悚电影]",,,2
"中国大陆",,,2
"弱电工程",,,1
"电力应用",,,1
"电机工程",,,1
"坐月子",,,22
"产妇",,,22
"西汉",,,22
"麻疹",,,1
measles,,,1
"儿童",,,1
"有",,,1
"飞沫传播",,,1
"上人",,,5
"僧侣",,,5
"采保费",,,29
"采购及保管费",,,29
"建筑行业",,,29
"足癣",,,1
"皮肤科",,,1
"代词[中文代词]",,,5
pronoun,,,5
pron,,,5
"立克次氏体",,,8
"细菌界",,,8
"变形菌门",,,8
"生物物种",,,8
"生物学",,,8
"微生物",,,8
"副词[英语副词]",,,5
adverb,,,5
adv.,,,5
"劈腿[汉语词汇]",,,23
"体操术语",,,23
"出轨",,,23
"激素",,,1
hormone,,,1
"荷尔蒙",,,1
"内分泌细胞",,,1
"仙人跳[用女色骗财的圈套]",,,22
"凌蒙初",,,22
"社会事件",,,22
"常春藤联盟",,,29
"高校联盟",,,29
"世界一流大学",,,29
"毛丝鼠",,,8
"脊索动物门",,,8
"脊椎动物亚门",,,8
"哺乳纲",,,8
"兽亚纲",,,8
"啮齿目",,,8
"豪猪亚目",,,8
"宠物",,,8
"动物",,,8
"生辰八字",,,5
"干支历",,,5
"内分泌失调",,,1
"内分泌科",,,1
"电解质",,,1
"化合物",,,1
"结婚恐惧症",,,1
"婚前恐惧症",,,1
"脑室",,,1
ventricle,,,1
"净资产",,,22
rush战术,,,20
"游戏",,,20
"工业生产总值",,,22
"溶血性贫血",,,1
"血液科",,,1
"净资产报酬率",,,22
"企业资产",,,22
"碳水化合物",,,1
"有机化合物",,,1
"中国化工学会",,,1
"先行词",,,5
antecedent,,,5
"模数化",,,22
module,,,22
"专业术语",,,22
"自然",,,8
"膳食纤维",,,14
"纵横家[中国权谋术派系]",,,5
"合纵连横",,,5
"《汉书·艺文志》",,,5
"鬼谷子",,,3
"出版物",,,5
"同位语从句",,,5
"株式会社",,,4
"博客[网络日志]",,,1
"电离",,,1
"化学过程",,,1
"山姆大叔[代指美国]",,,1
Uncle Sam,,,1
"别称",,,1
"十字军[由天主教士兵组成的军队]",,,22
"乌尔班二世",,,22
"计提",,,1
"自然哲学[哲学学科]",,,5
"舍利子[佛陀涅盘火化结晶体]",,,22
"通灵师[红袖添香网连载的小说]",,,5
"网络小说",,,5
"玄幻小说",,,5
"文学作品",,,5
"中国文学",,,5
3c[中国强制性产品认证],,,22
"中国强制认证",,,22
"认证标志",,,22
"陀飞轮[钟表调速装置]",,,3
1795年,,,3
"尤里[《红色警戒2》及《尤里的复仇》中的角色]",,,16
"罗马尼亚人",,,16
"尤杜·奇尔",,,16
"虚拟人物",,,3
"汇票",,,22
"异地结算",,,22
"法律术语",,,22
"基尼系数",,,1
"阿尔伯特·赫希曼",,,1
1943年,,,1
"政治经济学",,,1
"经济学",,,22
"银团包销",,,22
"承销者",,,22
"音标",,,5
IPA,,,1
1888,,,5
"语音",,,5
"犹太教",,,22
Judaism,,,22
"上帝",,,22
"以色列",,,22
"犹太族",,,5
"希伯来人",,,22
"摩西",,,22
"国税",,,22
"中华人民共和国发票管理办法",,,22
"速录",,,1
"斐波那契数列",,,1
"列昂纳多·斐波那契",,,1
1202年,,,1
"数学",,,1
"代数",,,1
"黄金分割",,,1
"血族[吉尔莫·德尔·托罗执导FX电视网剧集]",,,2
2014年,,,2
"美国",,,15
2014年7月13日,,,2
13,,,29
"电视剧",,,2
"角色扮演游戏",,,20
RPG,,,20
"会计[一种经济管理工作]",,,22
Accountant,,,22
"社会活动",,,22
"伊瓜苏市",,,16
"葡萄牙语",,,16
"城市",,,16
"阴阳[道家哲学思想]",,,5
"文学",,,5
"拓展训练[户外培训]",,,14
"物流管理[专业学科]",,,1
"资本主义[私有制经济制度]",,,22
capitalism,,,22
"文艺复兴时期",,,3
"资产阶级",,,22
"邻苯甲酰磺酰亚胺",,,1
"糖精",,,1
"不确定",,,1
"微溶",,,1
"甜味剂",,,1
Xn,,,1
"鳌",,,8
"真兽亚纲",,,8
"龟鳖目",,,8
"网游小说",,,5
"泡沫文学",,,5
"现代",,,5
"网络",,,5
"楚韵",,,22
"楚歌",,,22
"春秋战国",,,22
"古诗词",,,22
"博斯曼法案",,,22
"欧盟",,,22
"让·马克·博斯曼",,,22
5年,,,22
"五十步笑百步",,,5
"《孟子·梁惠王上》",,,5
"霸王硬上弓",,,5
"中国典故",,,5
"冰肌玉骨",,,5
"反越位",,,15
"足球术语",,,15
"体育",,,15
"股份制企业",,,16
"企业组织形式",,,16
"班驳",,,5
"外挂",,,2
"辅助",,,2
"衣原体",,,8
"沙眼",,,1
"从善如流",,,5
"公元前585年",,,5
"栾书",,,5
"大块朵颐",,,9
"狼吞虎咽",,,9
"补丁",,,1
patch,,,1
"原罪[宗教术语]",,,5
"成也萧何，败也萧何",,,5
"《史记·淮阴侯列传》",,,5
"血象",,,1
"参商[剑网三剧情歌]",,,5
"不才",,,5
"罗俊霖",,,5
"古风",,,5
"中文",,,5
"不置可否[汉语成语]",,,5
"蚩尤[上古时代九黎部落首领]",,,3
"兵主",,,3
"神州",,,3
"九黎族",,,3
"公元前2230年",,,3
"历史人物",,,3
"魑魅魍魉[汉语词语]",,,5
"贬义词",,,5
"志士仁人",,,5
"香港电影",,,2
"大型多人在线角色扮演游戏",,,2
"读书笔记",,,5
"第三代诗人",,,16
"营业税",,,22
"升水[汉语词语]",,,22
"贴水",,,22
"公文",,,22
"出线[体育名词]",,,15
"歹势",,,2
"闽南语",,,2
"碳酸氢钠",,,14
"化学试剂",,,14
"纯文学[词语释义]",,,5
"达摩克利斯之剑",,,22
"典故",,,22
"断章取义[汉语成语]",,,5
"反渗透",,,1
"逆渗透",,,1
"物理化学",,,1
"通用汽车公司",,,29
1908年9月16日,,,29
"中流砥柱",,,22
"增值税专用发票",,,22
"国家税务总局",,,22
"一般纳税人",,,22
"欧洲足联欧洲联赛",,,15
"欧洲足球联合会",,,15
"欧罗巴联赛",,,15
"欧霸杯",,,15
"足球比赛",,,15
"社会团体",,,15
"俱乐部",,,15
"体育赛事",,,15
jpg,,,1
JPEG,,,1
"图片格式",,,1
"世界波[精彩进球的概括]",,,15
"实况足球[Konami开发的游戏系列]",,,20
Pro Evolution Soccer,,,20
"竞技游戏",,,20
KONAMI,,,20
3D,,,20
"实况足球2017",,,20
"球员",,,20
"模拟游戏",,,20
"动作游戏",,,20
"吹毛求疵[成语]",,,5
"无中生有",,,5
"宽大为怀",,,5
"中性",,,5
"黑马股票",,,22
"造越位",,,15
"防守战术",,,15
"银球制",,,15
"否尽泰来",,,5
"否极泰来",,,5
"耳鬓厮磨",,,5
"摩登舞",,,2
"五项",,,2
"舞蹈",,,2
"和气道",,,15
"信托投资",,,29
"黑色家电",,,4
"白色家电",,,4
"生活用品",,,14
"银行汇票",,,22
"外家拳法",,,15
"武术流派",,,15
"异化作用",,,1
"生态学",,,1
"银行托收",,,22
"对偶婚",,,22
"对偶家庭",,,22
"分桃",,,1
"余桃",,,1
"包抄",,,5
outflank,,,5
"包围",,,5
"印花税",,,22
"法律",,,22
"税控",,,22
"继发性",,,14
"地下音乐",,,10
"特立独行",,,10
"越位[足球比赛规则]",,,15
Offside,,,15
1874年,,,15
"足球运动",,,15
"地景艺术",,,3
1960年,,,29
"美术",,,3
"市盈率",,,22
"股票财务术语",,,22
"现代舞",,,2
"消费税",,,22
"会计学",,,22
"税法",,,22
"会计",,,22
"法律法规",,,22
"贴现净额",,,5
"三资企业",,,4
"分道扬镳[汉语成语]",,,5
"投资回报率",,,22
ROI,,,22
"时效性",,,22
"返点",,,1
rebate,,,1
2009,,,2
"企业所得税",,,22
"格律诗",,,5
"南齐",,,5
"诗词",,,5
"百度[百度公司]",,,1
"网络信息服务",,,1
"李彦宏",,,1
"股票名称",,,4
"白洞[特殊天体]",,,20
"暂无",,,20
"未知",,,20
100%,,,29
"赴汤蹈火[2016年大卫·马肯兹执导美国电影]",,,2
Taylor Sheridan,,,2
102分钟,,,2
2016年8月12日,,,2
R级,,,2
"英语",,,2
"审计[独立性的经济监督活动]",,,22
"《中华人民共和国审计法》",,,22
"战术",,,22
tactics,,,22
"军事",,,22
"卓玛[藏族信奉的女神]",,,3
"度母",,,3
"神话人物",,,3
"企业家精神[企业家精神阐述]",,,1
Breaking,,,2
"太阳历",,,22
"内家拳法",,,15
"内功",,,15
"古体诗",,,5
"清明节[中华民族的传统节日]",,,16
"中国传统节日",,,16
"祭祀",,,22
"春分",,,16
"谷雨",,,16
"阿Q精神",,,1
"汗牛充栋",,,5
"水门事件",,,29
"水门大厦",,,29
"尼克松",,,29
"纳西古乐",,,22
"纳西族",,,2
14世纪,,,22
"敲打乐",,,22
"瓜田李下",,,5
"成语典故",,,5
"苏格拉底法则",,,1
"苏格拉底反诘法",,,1
"哲学",,,1
"学习委员",,,5
"学校",,,29
"四国方案",,,22
2005年5月16日,,,22
"非生物因素",,,1
"失业保险",,,22
"毛利率",,,22
"免抵退",,,5
"名词",,,5
"三角班",,,2
"采茶戏",,,2
"戏曲",,,2
"戏剧",,,2
"纳税调整",,,5
"情商[情绪、意志、性格、行为习惯组成的商数]",,,5
EQ,,,5
"企业管理学",,,5
"一塌糊涂bbs",,,1
1999年9月17日,,,1
"意识完美僻",,,1
"心理咨询",,,1
"硅谷综合症",,,3
"双规[特殊组织措施和调查手段]",,,22
"两规",,,22
"抑郁症",,,1
"抑郁障碍",,,1
depression,,,1
"精神科",,,1
"意识流小说",,,5
"写作技巧",,,5
"和硕[台湾企业名称]",,,4
"塔利班[伊斯兰原教旨主义运动组织]",,,16
"阿富汗",,,16
"伊斯兰教",,,16
"海巴图拉·阿洪扎达",,,16
"表现手法",,,5
"土体构型",,,1
"化学",,,1
"农学",,,8
"宾语从句",,,5
"指数级",,,1
"强迫症[神经精神疾病]",,,1
"账面价值",,,22
"催眠术[汉语词汇]",,,1
hypnotism,,,1
"希腊神话",,,1
"七杀[星系名称]",,,1
"天体",,,1
"动词不定式",,,5
infinitive,,,5
"非谓语动词",,,5
"百家争鸣[春秋战国时期历史局面]",,,5
"儒",,,5
"墨",,,5
"道",,,2
"法",,,22
"铵[化学名词]",,,1
"物理学",,,1
"儿童孤独症",,,1
"超导材料",,,1
"抗磁性",,,1
"同位素效应",,,1
"寒食节",,,22
"传统节日",,,22
"东亚文化圈",,,22
"晋国",,,3
"晋文公",,,16
"春秋",,,16
"节日",,,22
"双重人格[心理学术语]",,,1
"多重人格",,,1
"心理障碍",,,1
asp程序,,,11
"编程技术",,,11
"多元弱酸",,,1
"弱电解质",,,1
"天文",,,1
"反函数",,,1
"可逆性",,,1
"对数",,,1
logarithm,,,1
"回环句",,,5
"修辞",,,5
"过渡句",,,5
"承上启下",,,5
"句式",,,5
"哈勃半径",,,1
"哈勃定律",,,1
"光年",,,1
"挂马",,,1
"病毒",,,1
"勾股定理",,,1
"公元前551年",,,1
"几何学",,,1
"《几何原本》",,,13
"直角三角形",,,1
"官僚主义",,,22
"四风",,,22
msmsgs,,,1
"网络聊天",,,1
Windows Messenger,,,1
"发票",,,22
invoice,,,22
"收款凭证",,,22
"单项式",,,1
"数论",,,1
"傅雷家书",,,5
"天津社会科学院出版社",,,5
"平装",,,5
"傅敏",,,5
bios,,,1
"加权",,,1
weight,,,1
"统计学",,,1
DOS[DOS操作系统],,,1
"磁盘操作系统",,,1
"计算机操作系统",,,1
cmts[电缆调制解调器终端系统],,,1
"网络工程",,,1
"非淡泊无以明志，非宁静无以致远",,,14
"《诫子书》",,,14
"三国时期",,,16
"《诸葛亮集》",,,14
"词",,,5
id[身份标识号],,,1
ID,,,1
"机油",,,1
"发动机润滑油",,,1
"井田制",,,22
"汇率",,,22
"边界网关协议",,,1
Border Gateway Protocol,,,1
"荼蘼[2016年杨丞琳主演电视剧]",,,1
2016年10月7日,,,1
"徐誉庭",,,1
"借代句",,,5
"径流",,,16
"水利部发展研究中心",,,16
"祭童",,,5
"磁场[物理概念]",,,1
ntfs,,,1
"文件系统",,,1
ftp[文件传输协议],,,1
"曲尺",,,16
"明火",,,5
"两性氧化物",,,1
"化学分析",,,1
"绝对质量",,,1
"道尔顿",,,1
1803年,,,1
"可锻性",,,1
"冶金工程",,,1
"冶炼",,,1
"卵胎生",,,8
"欧拉公式",,,3
"欧拉方程",,,3
"莱昂哈德·欧拉",,,3
"新界[香港三大地理分区之一]",,,176
"亚热带季风气候",,,16
"香港国际机场",,,176
"红磡站",,,176
"民歌[音乐类别]",,,5
folks,,,5
"词语",,,5
"口头传播",,,5
ipc[桌面云产品],,,1
"进程间通信",,,1
"计算机",,,1
"曲线[Photoshop工具、微分几何学]",,,1
curve,,,1
"正则曲线",,,1
"微积分",,,1
c小调第五交响曲,,,2
"路德维希·凡·贝多芬",,,2
"古典",,,2
"命运交响曲",,,2
"古典音乐",,,2
Microsoft Office Access,,,1
"微软",,,1
"关系型数据库",,,1
"百度知道",,,1
"十相自在",,,22
"藏传佛教",,,22
"六字真言",,,5
Om Mani Padme Hum,,,5
"六字大明咒",,,5
"全等三角形",,,1
"摩尼宝珠",,,14
"木变石",,,1
"虎睛",,,1
"猫儿眼",,,1
"自然资源",,,1
"绿松石",,,16
"三斜晶系",,,1
"非均质集合体",,,13
5-6,,,16
"金刚杵",,,3
Vajra,,,3
"多吉",,,3
"金刚橛",,,22
"红玉髓",,,12
"隐晶质结构",,,12
"吉祥八宝",,,29
"噶乌",,,22
"转经筒",,,22
"玛尼轮",,,22
"瓦斯爆炸",,,1
"太平间",,,1
"医院",,,1
"希热布",,,3
"藏族",,,3
1961年,,,3
"画家",,,3
"艺术家",,,3
"十字金刚杵",,,22
"天珠[西藏天然材料制品]",,,5
"天降石",,,5
"挖墙脚",,,5
poach,,,5
"《统一战线中的独立自主问题》",,,5
"原教旨主义",,,22
fundamentalism,,,22
"意识形态",,,1
ideology,,,1
"青金石[稀有矿石]",,,1
"青金岩",,,1
"拉丁语",,,15
"等轴晶系",,,1
"曼陀罗[一种被子植物门植物]",,,8
"植物界",,,8
"双子叶植物纲",,,8
"菊亚纲",,,8
"茄目",,,8
"茄科",,,8
"曼陀罗族",,,8
"曼陀罗属",,,8
"市侩",,,5
"走穴",,,5
"演艺界",,,5
"党鞭",,,15
"英国",,,15
"吴清源[围棋大师]",,,15
"吴泉",,,15
"汉族",,,3
"运动员",,,15
"棋类",,,15
"跳槽[换工作换单位]",,,5
"以儆效尤",,,5
"惩一儆百",,,5
"一大二公",,,22
1958年,,,29
"社会主义建设总路线",,,22
"近代史",,,22
"文案",,,22
"唐卡[藏族绘画]",,,5
Thang-ga,,,5
2006年,,,2
"民间美术",,,5
"文化用品",,,2
"御宅族[亚文化爱好者]",,,5
"多边主义",,,22
"国际政治",,,22
"招安",,,22
"书记[职务]",,,3
"共产主义",,,3
"洗钱[一种将非法所得合法化的行为]",,,22
"违法",,,22
"反洗钱",,,22
"农村人民公社",,,22
1958年7月1日,,,22
"五谷[食物]",,,14
"五谷杂粮",,,14
"走合车",,,4
"交通工具",,,4
"主义",,,22
emc[EMC公司],,,1
"伪科学",,,5
1848年,,,5
"主流社会",,,5
"社会主义法制",,,5
"歇后语",,,5
"熟语",,,5
"俏皮话",,,5
"考试焦虑症",,,1
"厌氧菌",,,8
"细菌",,,8
bfm,,,16
"电路",,,16
"新西兰",,,16
"寻租",,,22
"唯灵论",,,1
"理想主义",,,1
"小资",,,5
"小隐于野大隐于市",,,3
"哲学思想",,,3
"东方朔",,,3
"汉朝",,,3
"通配符",,,1
"西学东渐",,,22
"物华天宝",,,5
"《秋日登洪府滕王阁饯别序》",,,5
"褒义词",,,5
"王勃",,,5
"唐朝",,,5
"雕塑",,,13
"校草",,,3
"台湾",,,3
"烟视媚行",,,5
"内海",,,16
"辎兵",,,5
"柏拉图[古希腊哲学家]",,,13
"雅典",,,13
"公元前427年",,,13
"公元前347年",,,13
"苏格拉底",,,13
"科学家",,,3
"员外",,,22
"右派",,,22
"右翼",,,22
"晕轮效应",,,1
"心理学",,,1
"社会心理学",,,1
"中国心理学会",,,1
"文艺复兴[14到17世纪的欧洲思想文化运动]",,,5
"文艺复兴运动",,,5
Renaissance,,,5
"意大利",,,15
"人文主义",,,5
"信仰[汉语词语]",,,22
belief,,,22
"乌托邦[词语]",,,1
Utopia,,,1
"议会制",,,1
"总督",,,1
"公元前205年",,,5
"汤力水",,,14
"奎宁水",,,14
"天妇罗",,,14
tempura,,,14
"日本料理",,,14
"油炸食品",,,14
"葡萄牙",,,16
"食品",,,14
"菜品",,,14
"小吃",,,14
"味噌",,,14
"硝水",,,1
"左支右绌",,,5
"什锦",,,5
"音叉[呈]",,,2
"娱乐设备",,,2
"佚名[无名氏]",,,5
Anonymous,,,5
