9,hasActor,HappyCycle
9,hasObject,Pre-A轮融资
HappyCycle,完成,Pre-A轮融资
9,hasObject,动感单车健身品牌
HappyCycle,BelongTo,动感单车健身品牌
11,hasActor,胡玮炜
11,hasRecipient,摩拜单车
胡玮炜,exit,摩拜单车
14,hasActor,PonyCar
14,hasObject,C轮融资
PonyCar,获,C轮融资
14,hasActor,知合出行
知合出行,invest,PonyCar
16,hasActor,上海凤凰自行车
16,hasObject,共享单车
上海凤凰自行车,布局,共享单车
16,hasObject,社交
上海凤凰自行车,试水,社交
17,hasActor,ofo
17,hasRecipient,德国
ofo,暂别,德国
586,hasActor,ofo
586,hasObject,盈利
ofo,实现_O,盈利
586,hasActor,张巳丁
ofo,co-occurence,张巳丁
589,hasActor,Uber
589,hasRecipient,JUMP
Uber,acquisition,JUMP
589,hasObject,美国共享单车初创企业
JUMP,BelongTo,美国共享单车初创企业
590,hasActor,日本熊本县
590,hasObject,共享单车
日本熊本县,合作投放_O,共享单车
590,hasActor,ofo
日本熊本县,合作投放_A,ofo
ofo,合作投放_O,共享单车
595,hasActor,哈啰单车
595,hasRecipient,阿里巴巴
哈啰单车,获_O,阿里巴巴
595,hasObject,增资
哈啰单车,获_A,增资
阿里巴巴,获_P,增资
596,hasActor,ofo
596,hasObject,骑行挖矿
ofo,推广_O,骑行挖矿
596,hasActor,日本
ofo,推广_A,日本
日本,推广_O,骑行挖矿
600,hasActor,永安行
600,hasRecipient,上交所
永安行,上市,上交所
601,hasActor,ofo
601,hasObject,订单
ofo,产生,订单
602,hasActor,ofo
602,hasObject,哈佛中国论坛午餐会
602,hasActor,戴威
ofo,co-occurence,戴威
戴威,出席_O,哈佛中国论坛午餐会
604,hasActor,摩拜单车
604,hasRecipient,联合国环境署
摩拜单车,携,联合国环境署
604,hasObject,世界骑行日
摩拜单车,发起,世界骑行日
联合国环境署,发起,世界骑行日
605,hasActor,北京
605,hasObject,停车规范
北京,release,停车规范
606,hasActor,杭州
606,hasObject,共享单车
杭州,减量,共享单车
611,hasActor,南宁
611,hasObject,共享单车投放
南宁,禁,共享单车投放
612,hasActor,LimeBike
612,hasObject,B+轮融资
LimeBike,获,B+轮融资
612,hasObject,共享单车
LimeBike,BelongTo,共享单车
618,hasActor,ofo
618,hasObject,运营新模式
ofo,启动,运营新模式
618,hasObject,代理商
ofo,寻找,代理商
619,hasActor,悟空单车
619,hasObject,炒作
悟空单车,否认,炒作
620,hasActor,ofo
620,hasRecipient,滴滴出行
ofo,回绝_O,滴滴出行
620,hasObject,潜在收购提议
ofo,回绝_A,潜在收购提议
滴滴出行,回绝_P,潜在收购提议
622,hasActor,ofo
622,hasObject,电子锁
ofo,换_O,电子锁
622,hasActor,戴威
ofo,换_A,戴威
624,hasActor,Lyft
624,hasRecipient,Motivate
Lyft,acquisition,Motivate
624,hasObject,共享单车平台
Motivate,BelongTo,共享单车平台
626,hasActor,广州
626,hasObject,互联网租赁自行车运营商中标结果
广州,release,互联网租赁自行车运营商中标结果
630,hasActor,摩拜单车
630,hasObject,共享单车电子围栏
摩拜单车,release,共享单车电子围栏
630,hasObject,禁停区
摩拜单车,实现,禁停区
共享单车电子围栏,overlap,禁停区
631,hasActor,ofo
631,hasObject,估值融资
ofo,寻求,估值融资
631,hasObject,共享单车
ofo,BelongTo,共享单车
632,hasActor,联合国开发计划署
632,hasObject,一公里计划
联合国开发计划署,启动_O,一公里计划
632,hasActor,ofo
联合国开发计划署,启动_A,ofo
ofo,启动_O,一公里计划
637,hasActor,摩拜单车
637,hasObject,全国免押数据
摩拜单车,晒,全国免押数据
638,hasActor,摩拜单车
638,hasObject,单车零件创意跨界合作
摩拜单车,发布_O,单车零件创意跨界合作
638,hasActor,YUUE
摩拜单车,发布_A,YUUE
YUUE,发布_O,单车零件创意跨界合作
639,hasActor,杭州
639,hasObject,共享单车进小区
杭州,禁止,共享单车进小区
640,hasActor,小黄车商标所有人
640,hasRecipient,ofo
小黄车商标所有人,诉_O,ofo
640,hasObject,注册商标专用权
小黄车商标所有人,诉_A,注册商标专用权
ofo,诉_P,注册商标专用权
642,hasObject,共享单车
642,hasObject,深圳2017年立法计划
共享单车,列入,深圳2017年立法计划
645,hasActor,武汉
645,hasObject,共享单车
武汉,削减,共享单车
648,hasActor,美团
648,hasObject,共享单车亏损
美团,收窄,共享单车亏损
650,hasActor,oBike
650,hasObject,区块链
oBike,试水,区块链
652,hasActor,ofo
652,hasObject,信用免押金
ofo,close,信用免押金
655,hasActor,滴滴出行
655,hasRecipient,小蓝单车
滴滴出行,投放,小蓝单车
656,hasActor,一汽轿车
656,hasRecipient,摩拜出行
一汽轿车,invest,摩拜出行
658,hasActor,上海凤凰自行车
658,hasRecipient,ofo
上海凤凰自行车,conflict,ofo
661,hasActor,武汉
661,hasObject,共享单车
武汉,调减,共享单车
661,hasObject,市场提质增效
武汉,助推,市场提质增效
384,hasActor,摩拜单车
384,hasObject,新车
摩拜单车,没有投入,新车
385,hasActor,摩拜单车
385,hasRecipient,路易威登
摩拜单车,cooperate,路易威登
385,hasObject,奢侈品牌
路易威登,BelongTo,奢侈品牌
389,hasRecipient,H连锁酒店
389,hasActor,华住
华住,invest,H连锁酒店
393,hasActor,百世物流
393,hasRecipient,ofo
百世物流,起诉_O,ofo
393,hasObject,公路货物运输合同纠纷
百世物流,起诉_A,公路货物运输合同纠纷
ofo,起诉_P,公路货物运输合同纠纷
400,hasActor,ofo
400,hasObject,圣诞元旦出行预测报告
ofo,release,圣诞元旦出行预测报告
401,hasObject,共享单车
401,hasObject,小广告“新地盘”
共享单车,成,小广告“新地盘”
403,hasActor,ofo
403,hasObject,红包车
ofo,重启,红包车
403,hasObject,用户调度车辆
ofo,激励,用户调度车辆
405,hasActor,ofo
405,hasRecipient,韩国
ofo,exit,韩国
443,hasActor,Uber
443,hasRecipient,JumpBike
Uber,acquisition,JumpBike
443,hasObject,共享单车平台
JumpBike,BelongTo,共享单车平台
444,hasActor,拉勾云人事
444,hasRecipient,ofo
拉勾云人事,合作_O,ofo
445,hasActor,Limebike
445,hasObject,共享单车
Limebike,BelongTo,共享单车
446,hasActor,青桔单车
446,hasObject,计费规则
青桔单车,变更,计费规则
2345,hasActor,摩拜单车
2345,hasObject,骑行雨衣
摩拜单车,release,骑行雨衣
2347,hasActor,经纬
2347,hasActor,张颖
经纬,co-occurrence,张颖
2348,hasActor,小鸣单车
2348,hasActor,陈宇莹
小鸣单车,co-occurrence,陈宇莹
2349,hasActor,永安行
2349,hasObject,授权
永安行,买下,授权
22,hasActor,OssInversiones
22,hasRecipient,摩拜单车
OssInversiones,收购_O,摩拜单车
22,hasObject,国际业务
OssInversiones,收购_A,国际业务
摩拜单车,收购_P,国际业务
22,hasObject,拉美投资公司
OssInversiones,BelongTo,拉美投资公司
24,hasActor,ofo
24,hasRecipient,澳大利亚
ofo,exit,澳大利亚
29,hasActor,王兴
29,hasRecipient,摩拜单车
王兴,acquisition,摩拜单车
30,hasActor,ofo
30,hasObject,盈利
ofo,实现,盈利
33,hasActor,成都
